,Name,Nationality,Year of Birth
0,Nekagenet CRIPPA,ITA,1994.0
1,Derseh KINDIE,ETH,1999.0
2,Alex Kipirech KIPCHIRCHIR,KEN,2002.0
3,Luis Miguel MASABANDA,ECU,1996.0
4,Dennis Kibet KITIYO,KEN,1999.0
5,Maël GOUYETTE,FRA,1999.0
6,Evan JENKINS,USA,2004.0
7,Daniele MEUCCI,ITA,1985.0
8,Reed FISCHER,USA,1995.0
9,Frank LARA,USA,1995.0
10,Diego ESTRADA,USA,1989.0
11,Yevgeniy KUNTS,RUS,1993.0
12,Carson SMITH,USA,
13,Kaisei SUGIYAMA,JPN,1999.0
14,Ossama MESLEK,ITA,1997.0
15,Daiki HATTORI,JPN,1999.0
16,Victor KIPLANGAT,UGA,1999.0
17,Josphat Kipkemboi KEMEI,KEN,1994.0
18,Dario IVANOVSKI,MKD,1997.0
19,Anthony CAMERIERI,USA,2000.0
20,Jesse FOKKENROOD,NED,2002.0
21,Nelson MANDELA,KEN,2004.0
22,Bryan HERNANDEZ,USA,
23,John KORIR,KEN,1996.0
24,Andre WARING,AUS,1993.0
25,Yohans MEKASHA,ETH,1998.0
26,Amos KIPRUTO,KEN,1992.0
27,Jorge BLANCO,ESP,1993.0
28,Ilias FIFA,ESP,1989.0
29,Brian FAY,IRL,1998.0
30,Merhawi MEBRAHTU,ERI,2003.0
31,Julius Kiprono TARUS,KEN,1991.0
32,Alexandre FIGUEIREDO,POR,1999.0
33,Samuel RUSSOM,ERI,1991.0
34,Dominik ROLLI,SUI,1996.0
35,Marius KIMUTAI,BRN,1992.0
36,Baptiste MISCHLER,FRA,1997.0
37,Elhassane MOUJAHID,MAR,2000.0
38,Edmond KIPNGETICH,KEN,1994.0
39,Daisuke HOSOMORI,JPN,1994.0
40,Takuya KITASAKI,JPN,1999.0
41,Sean PETERSON,USA,1999.0
42,Seifu TURA,ETH,1997.0
43,Abraham CHEROBEN,BRN,1992.0
44,Anatoliy RYBAKOV,RUS,1985.0
45,Christian RICKETTS,USA,
46,Naoya SAKUDA,JPN,1994.0
47,William KIBOR,KEN,1985.0
48,Patrick KAMAU,KEN,2003.0
49,Elvis TABARACH,KEN,1997.0
50,Alene BELAY,ETH,2000.0
51,Hiromasa KUMAHASHI,JPN,1994.0
52,Mohamed ZERRAD,ITA,1993.0
53,Rodgers KWEMOI,KEN,1998.0
54,Titus WINDERS,USA,
55,Richard RINGER,GER,1989.0
56,Shumpei TOMITA,JPN,2000.0
57,William KINCAID,USA,1992.0
58,Junna ISHIMARU,JPN,2003.0
59,Cleophas Kandie MEYAN,KEN,2000.0
60,Hosea KIPLANGAT,UGA,2000.0
61,Benoit CAMPION,FRA,1998.0
62,Moumin Bouh GUELLEH,DJI,1991.0
63,Douglas CHEBII,KEN,1993.0
64,Gebretsadik ABRAHA,ETH,1992.0
65,Abdelilah ELMAIMOUNI,MAR,1992.0
66,Kiyoto HIRABAYASHI,JPN,2002.0
67,Paulos SURAFEL,GBR,1997.0
68,Yeneblo BIYAZEN,ETH,2000.0
69,Awet Nftalem KIBRAB,NOR,1995.0
70,Antoine SENARD,FRA,2000.0
71,Mitchell UBENE,CAN,1998.0
72,Abdisa TOLA,ETH,2000.0
73,Solomon MUTAI,UGA,1992.0
74,Kipkemoi KIPRONO,KEN,1995.0
75,Rhonzas Lokitam KILIMO,KEN,1996.0
76,Alphonce Felix SIMBU,TAN,1992.0
77,Alex MAIER,USA,
78,Taha ER RAOUY,MAR,2002.0
79,Balew YIHUNLE,ETH,1998.0
80,Simon DEBOGNIES,BEL,1996.0
81,Dzmitry IVANENKA,BLR,1994.0
82,Shoya KAWASE,JPN,1998.0
83,Hailu ZEWDU,ETH,1995.0
84,Martin Magengo KIPROTICH,UGA,2003.0
85,Stephen LEMAYIAN,KEN,2003.0
86,Khalid CHOUKOUD,NED,1986.0
87,Ben POTRYKUS,GBR,1996.0
88,James WEST,GBR,1996.0
89,Jack PATTON,GBR,2003.0
90,Rhys HAMMOND,USA,
91,Graham BLANKS,USA,2002.0
92,Francis ABONGO,KEN,1996.0
93,Ilham Tanui ÖZBILEN,TUR,1990.0
94,Leo MAGNUSSON,SWE,1998.0
95,Cornelius KEMBOI,KEN,2000.0
96,Henrik INGEBRIGTSEN,NOR,1991.0
97,Daisuke DOI,JPN,1996.0
98,Jonson MUGENI,KEN,2004.0
99,Johannes MOTSCHMANN,GER,1994.0
100,Edward RUSH,USA,
101,Yassin BOUIH,ITA,1996.0
102,Sam GILMAN,USA,2000.0
103,Alex MELLOY,GBR,2003.0
104,Shota SHIODE,JPN,2003.0
105,Aaron AHL,CAN,1999.0
106,Simon KARIUKI,KEN,1996.0
107,Patrick TIERNAN,AUS,1994.0
108,Amanal PETROS,GER,1995.0
109,Takashi ICHIDA,JPN,1992.0
110,Hassan CHAHDI,FRA,1989.0
111,Geza SENEBETA,ETH,1993.0
112,Enzo COUDERCHET,FRA,1997.0
113,Abdel LAADJEL,IRL,2003.0
114,Afewerki BERHANE,ERI,1996.0
115,Sila KIPTOO,KEN,1998.0
116,Syunpei YAMAGUCHI,JPN,2006.0
117,Yohei IKEDA,JPN,1998.0
118,Getaneh MOLLA,ETH,1994.0
119,Tebello RAMAKONGOANA,LES,1996.0
120,Denis CHIRCHIR,KEN,1990.0
121,Gideon KIPROTICH,KEN,
122,Adam NOWICKI,POL,1990.0
123,Michael Mugo GITHAE,KEN,1994.0
124,Jesús GÓMEZ,ESP,1991.0
125,Edwin KOSGEI,KEN,1989.0
126,Job IJTSMA,NED,2000.0
127,Edwin KIPRUTO,KEN,1995.0
128,Kanta SHIMIZU,JPN,1996.0
129,Debessay DESALE,ERI,1988.0
130,Luke MCCANN,IRL,1998.0
131,Ibrahim CHAKIR,ESP,1994.0
132,Micah CHESEREK,KEN,1996.0
133,Federico RIVA,ITA,2000.0
134,Leonard BARSOTON,KEN,1994.0
135,Daichi TAKEUCHI,JPN,1996.0
136,Berihu AREGAWI,ETH,2001.0
137,Héctor GARIBAY,BOL,1988.0
138,Vincent Kibet LANGAT,KEN,2001.0
139,Kiseki SHIOZAWA,JPN,1998.0
140,Geofrey KUSURO,UGA,1989.0
141,Kevin MCDERMOTT,USA,
142,Zakaria BOUFALJAT,ESP,1997.0
143,Joel REICHOW,USA,1993.0
144,Bravin Kipkogei KIPTOO,KEN,2001.0
145,Tadesse GETAHON,ISR,1997.0
146,Benard KIMELI,KEN,1995.0
147,Taishi ITO,JPN,2003.0
148,Boaz KIPRUGUT,KEN,1998.0
149,Harman JOT SINGH,IND,1995.0
150,Dan KIPLANGAT,KEN,1996.0
151,Bastien AUGUSTO,FRA,1999.0
152,Salih TEKSÖZ,TUR,1994.0
153,Rheinhardt HARRISON,USA,2004.0
154,Isaac MPOFU,ZIM,1988.0
155,Yassine EL FATHAOUI,ITA,1982.0
156,Therence BIZOZA,BDI,2004.0
157,Bedan KAROKI,KEN,1990.0
158,Ramazan ÖZDEMIR,TUR,1991.0
159,Cole SPROUT,USA,2001.0
160,Mohamed CHAABOUD,MAR,1989.0
161,Morgan LE GUEN,SUI,1993.0
162,Ryoma INOUE,JPN,1999.0
163,Alexander Mutiso MUNYAO,KEN,1996.0
164,Ian KIBIWOT,KEN,
165,Robert KWAMBAI,KEN,1985.0
166,Yemane HAILESELASSIE,ERI,1998.0
167,Samuel PIHLSTRÖM,SWE,2001.0
168,Geoffrey KOECH,KEN,1993.0
169,Tatsuya MARUYAMA,JPN,1994.0
170,Panuel MKUNGO,KEN,1994.0
171,Noah KIPKEMBOI,KEN,1993.0
172,Felix Kiptarus KORIR,KEN,2003.0
173,Dmytrii NIKOLAICHUK,UKR,1992.0
174,Yota IFUKU,JPN,2002.0
175,Ahmed MUHUMED,USA,1998.0
176,Will BARNICOAT,GBR,2003.0
177,Pavel VINDUŠKA,CZE,2004.0
178,István SZÖGI,HUN,1995.0
179,Thomas GEORGE,GBR,1996.0
180,Ayad LAMDASSEM,ESP,1981.0
181,Yuya YOSHIDA,JPN,1997.0
182,Benard KIPKORIR,KEN,1990.0
183,Callum DAVIES,AUS,1999.0
184,Conner MANTZ,USA,1996.0
185,Yugo KASHIWA,JPN,2000.0
186,Mikael JOHNSEN,DEN,1992.0
187,Tianyu CHEN,CHN,1997.0
188,Dechasa ALEMU,ETH,1998.0
189,Hiroto TAKAMURA,JPN,2002.0
190,Yago ROJO,ESP,1995.0
191,Mohamad ALGARNI,QAT,1992.0
192,Shuto MIKAMI,JPN,1996.0
193,Dominic SEREM,USA,
194,Abdurrahman GEDIKLIOĞLU,TUR,1998.0
195,Daniel KOSEN,KEN,2003.0
196,Alfred BARKACH,KEN,1997.0
197,Ashenafi MOGES,ETH,1994.0
198,Albert KANGOGO,KEN,1987.0
199,Mogos TUEMAY,ETH,1997.0
200,Albert KORIR,KEN,1994.0
201,Magnus Tuv MYHRE,NOR,2000.0
202,Shoya SAITO,JPN,2003.0
203,Mohamed ABDILAAHI,GER,1999.0
204,Hector PAGAN,PUR,2001.0
205,Aidan TROUTNER,USA,
206,Yuta YOSHINAKA,JPN,2003.0
207,Kibiwott KANDIE,KEN,1996.0
208,Donovan CHRISTIEN,FRA,1998.0
209,Charles MUNERIA,KEN,1996.0
210,Kieran LUMB,CAN,1998.0
211,Ossama EL KABBOURI,ITA,2000.0
212,Taoufik ALLAM,MAR,1989.0
213,Kento KIKUTANI,JPN,1994.0
214,Rei MATSUNAGA,JPN,2001.0
215,Saul ACOSTA,MEX,1990.0
216,Wil SMITH,USA,
217,Kazuya NISHIYAMA,JPN,1998.0
218,Joseph WIGFIELD,GBR,2000.0
219,Austin VANCIL,USA,2000.0
220,Benjamin FLANAGAN,CAN,1995.0
221,Stephen KISSA,UGA,1988.0
222,Jack BRUCE,AUS,1994.0
223,Johannes MOREPE,RSA,2005.0
224,AJ ERNST,USA,1998.0
225,James NGANDU,KEN,1990.0
226,Elias SCHREML,GER,2000.0
227,Amon KEMBOI,KEN,
228,Kouki ASAI,JPN,2003.0
229,James BUNUKA,KEN,1997.0
230,Michael SOMERS,BEL,1995.0
231,Andrew DAVIES,CAN,2000.0
232,Mohamed ATTAOUI,ESP,2001.0
233,Wesley KIPTOO,KEN,1999.0
234,Shaohui YANG,CHN,1992.0
235,Jacob THOMSON,USA,1994.0
236,Said AMERI,ALG,2003.0
237,Neo NAMIKI,JPN,2001.0
238,Berhane Tsegay TEKLE,ERI,1983.0
239,Illia KARNAVUKHAU,BLR,1999.0
240,Mohamed EL TALHAOUI,MAR,1994.0
241,Ruben VERHEYDEN,BEL,2000.0
242,Esten Hansen-Møllerud HAUEN,NOR,2003.0
243,Kazuki TAMURA,JPN,1995.0
244,Thomas PIQUART,FRA,2001.0
245,Abdu ASSEN,ETH,2002.0
246,Adam MOORE,GBR,1998.0
247,Alexander NILSSON,SWE,1995.0
248,Yomif KEJELCHA,ETH,1997.0
249,Kei KAWAGUCHI,JPN,1999.0
250,Cameron LEVINS,CAN,1989.0
251,Raymond MAGUT,KEN,
252,Jorge David TORRE,ESP,1998.0
253,Carlos SAEZ,ESP,1999.0
254,Berhanu HEYE,ETH,
255,Simon BÉRUBÉ,CAN,1997.0
256,Kjetil BRENNO GAGNÅS,NOR,2000.0
257,Dennis KIPKURUI,KEN,2004.0
258,Hiroto INOUE,JPN,1993.0
259,Aoi ITO,JPN,2004.0
260,Boniface KIBIWOTT,KEN,1993.0
261,Stephen MOKOKA,RSA,1985.0
262,Yamato YOSHII,JPN,2002.0
263,Samuel PRAKEL,USA,1994.0
264,Philip KOECH,KEN,1987.0
265,Maciej WYDERKA,POL,2002.0
266,Janio Marcos GONÇALVES,BRA,2003.0
267,Yudai NOGUCHI,JPN,1998.0
268,Silas TOO,KEN,1988.0
269,Arnaud DELY,BEL,1997.0
270,Jamal Abdelmaji EISA MOHAMMED,ART,1993.0
271,Michał GROBERSKI,POL,2000.0
272,Chala REGASA,ETH,1997.0
273,Pieter CLAUS,BEL,1993.0
274,Kazuki KAWAMURA,JPN,1997.0
275,Sigurd TVEIT,NOR,2000.0
276,Casey COMBER,USA,1996.0
277,Ryo SAITO,JPN,1998.0
278,Aragaw Yitbarek MESERET,ETH,1998.0
279,Riccardo TAMASSIA,ITA,1993.0
280,Miguel BAIDAL,ESP,2001.0
281,Matthew RAMSDEN,AUS,1997.0
282,Yevgeniy RYBAKOV,RUS,1985.0
283,Thabang MOSIAKO,RSA,1995.0
284,Nehemiah KIPYEGON,KEN,1998.0
285,Samuel KIBET,UGA,2001.0
286,Chakib LACHGAR,ESP,1989.0
287,Jakob INGEBRIGTSEN,NOR,2000.0
288,James HANSEN,AUS,1993.0
289,Birhanu LEGESE,ETH,1994.0
290,Adeledelew MAMO,ETH,1999.0
291,Jye EDWARDS,AUS,1998.0
292,Owen HUARD,USA,
293,Rui PINTO,POR,1992.0
294,Pieter SISK,BEL,1999.0
295,Sean DONOGHUE,IRL,2002.0
296,Kibet KANDIE,KEN,1996.0
297,Timothy CHERUIYOT,KEN,1995.0
298,Miguel MOREIRA,POR,2000.0
299,Rok MARKELJ,SLO,2000.0
300,Márk VÖRÖS,HUN,1997.0
301,Feyissa MULGETA,ETH,1996.0
