,Name,Race,Year,Time
0,Nekagenet CRIPPA,1500 Metres,2012,0 days 00:04:06.100000
1,Nekagenet CRIPPA,1500 Metres,2014,0 days 00:04:00.070000
2,Nekagenet CRIPPA,1500 Metres,2018,0 days 00:04:03.790000
3,Nekagenet CRIPPA,5000 Metres,2012,0 days 00:15:19.640000
4,Nekagenet CRIPPA,5000 Metres,2013,0 days 00:14:57.420000
5,Nekagenet CRIPPA,5000 Metres,2015,0 days 00:15:00.590000
6,Nekagenet CRIPPA,5000 Metres,2017,0 days 00:14:45.290000
7,Nekagenet CRIPPA,5000 Metres,2018,0 days 00:14:17.810000
8,Nekagenet CRIPPA,5000 Metres,2019,0 days 00:14:00.870000
9,Nekagenet CRIPPA,"10,000 Metres",2014,0 days 00:30:37.130000
10,Nekagenet CRIPPA,"10,000 Metres",2016,0 days 00:29:56.230000
11,Nekagenet CRIPPA,"10,000 Metres",2019,0 days 00:29:24.470000
12,Nekagenet CRIPPA,"10,000 Metres",2021,0 days 00:27:51.930000
13,Nekagenet CRIPPA,"10,000 Metres",2023,0 days 00:28:16.960000
14,Nekagenet CRIPPA,10 Kilometres Road,2012,0 days 00:32:29
15,Nekagenet CRIPPA,10 Kilometres Road,2013,0 days 00:31:08
16,Nekagenet CRIPPA,10 Kilometres Road,2015,0 days 00:30:09
17,Nekagenet CRIPPA,10 Kilometres Road,2016,0 days 00:30:45
18,Nekagenet CRIPPA,10 Kilometres Road,2017,0 days 00:30:59
19,Nekagenet CRIPPA,10 Kilometres Road,2018,0 days 00:29:59
20,Nekagenet CRIPPA,10 Kilometres Road,2019,0 days 00:29:39
21,Nekagenet CRIPPA,10 Kilometres Road,2021,0 days 00:29:15
22,Nekagenet CRIPPA,10 Kilometres Road,2022,0 days 00:29:23
23,Nekagenet CRIPPA,10 Kilometres Road,2023,0 days 00:28:45
24,Nekagenet CRIPPA,Half Marathon,2013,0 days 01:08:21
25,Nekagenet CRIPPA,Half Marathon,2014,0 days 01:05:31
26,Nekagenet CRIPPA,Half Marathon,2016,0 days 01:06:43
27,Nekagenet CRIPPA,Half Marathon,2017,0 days 01:09:13
28,Nekagenet CRIPPA,Half Marathon,2020,0 days 01:03:23
29,Nekagenet CRIPPA,Half Marathon,2022,0 days 01:02:01
30,Nekagenet CRIPPA,Half Marathon,2023,0 days 01:02:38
31,Nekagenet CRIPPA,Marathon,2016,0 days 02:21:17
32,Nekagenet CRIPPA,Marathon,2023,0 days 02:07:35
33,Nekagenet CRIPPA,Marathon,2024,0 days 02:09:41
34,Derseh KINDIE,Half Marathon,2022,0 days 00:59:18
35,Derseh KINDIE,Marathon,2021,0 days 02:12:11
36,Derseh KINDIE,Marathon,2022,0 days 02:08:23
37,Derseh KINDIE,Marathon,2023,0 days 02:05:51
38,Derseh KINDIE,Marathon,2024,0 days 02:07:22
39,Alex Kipirech KIPCHIRCHIR,1500 Metres,2023,0 days 00:03:45.650000
40,Alex Kipirech KIPCHIRCHIR,1500 Metres,2024,0 days 00:03:44.290000
41,Alex Kipirech KIPCHIRCHIR,5000 Metres,2021,0 days 00:13:51.080000
42,Alex Kipirech KIPCHIRCHIR,5000 Metres,2022,0 days 00:13:25.240000
43,Alex Kipirech KIPCHIRCHIR,5000 Metres,2023,0 days 00:13:28.140000
44,Alex Kipirech KIPCHIRCHIR,5000 Metres,2024,0 days 00:13:31.550000
45,Alex Kipirech KIPCHIRCHIR,"10,000 Metres",2022,0 days 00:28:02.530000
46,Alex Kipirech KIPCHIRCHIR,"10,000 Metres",2023,0 days 00:28:37.630000
47,Luis Miguel MASABANDA,5000 Metres,2021,0 days 00:14:34.260000
48,Luis Miguel MASABANDA,5000 Metres,2022,0 days 00:14:18.490000
49,Luis Miguel MASABANDA,5000 Metres,2024,0 days 00:14:13.930000
50,Luis Miguel MASABANDA,"10,000 Metres",2021,0 days 00:30:56.160000
51,Luis Miguel MASABANDA,"10,000 Metres",2022,0 days 00:29:52.020000
52,Luis Miguel MASABANDA,"10,000 Metres",2024,0 days 00:30:41.990000
53,Luis Miguel MASABANDA,Half Marathon,2023,0 days 01:02:37
54,Luis Miguel MASABANDA,Marathon,2023,0 days 02:13:33
55,Luis Miguel MASABANDA,Marathon,2024,0 days 02:13:57
56,Dennis Kibet KITIYO,1500 Metres,2021,0 days 00:03:54.070000
57,Dennis Kibet KITIYO,10 Kilometres Road,2022,0 days 00:27:35
58,Dennis Kibet KITIYO,10 Kilometres Road,2024,0 days 00:27:01
59,Dennis Kibet KITIYO,Half Marathon,2022,0 days 01:01:06
60,Dennis Kibet KITIYO,Half Marathon,2023,0 days 01:01:08
61,Dennis Kibet KITIYO,Half Marathon,2024,0 days 01:00:58
62,Maël GOUYETTE,1500 Metres,2017,0 days 00:03:52.650000
63,Maël GOUYETTE,1500 Metres,2018,0 days 00:03:46.980000
64,Maël GOUYETTE,1500 Metres,2019,0 days 00:03:43.760000
65,Maël GOUYETTE,1500 Metres,2020,0 days 00:03:41.330000
66,Maël GOUYETTE,1500 Metres,2021,0 days 00:03:41.240000
67,Maël GOUYETTE,1500 Metres,2022,0 days 00:03:40.490000
68,Maël GOUYETTE,1500 Metres,2023,0 days 00:03:35.940000
69,Maël GOUYETTE,1500 Metres,2024,0 days 00:03:36.220000
70,Maël GOUYETTE,5000 Metres,2018,0 days 00:14:50.300000
71,Maël GOUYETTE,5000 Metres,2022,0 days 00:14:03.850000
72,Maël GOUYETTE,5000 Metres,2023,0 days 00:13:36.240000
73,Maël GOUYETTE,"10,000 Metres",2021,0 days 00:30:13.700000
74,Maël GOUYETTE,10 Kilometres Road,2021,0 days 00:30:18
75,Maël GOUYETTE,10 Kilometres Road,2022,0 days 00:29:34
76,Maël GOUYETTE,10 Kilometres Road,2023,0 days 00:29:29
77,Evan JENKINS,1500 Metres,2022,0 days 00:03:52.220000
78,Evan JENKINS,1500 Metres,2024,0 days 00:03:47.180000
79,Evan JENKINS,5000 Metres,2023,0 days 00:13:54.650000
80,Evan JENKINS,5000 Metres,2024,0 days 00:13:38.010000
81,Evan JENKINS,"10,000 Metres",2023,0 days 00:29:29.640000
82,Evan JENKINS,"10,000 Metres",2024,0 days 00:28:04.580000
83,Daniele MEUCCI,1500 Metres,2005,0 days 00:03:48.790000
84,Daniele MEUCCI,1500 Metres,2006,0 days 00:03:47.320000
85,Daniele MEUCCI,1500 Metres,2007,0 days 00:03:47.490000
86,Daniele MEUCCI,1500 Metres,2008,0 days 00:03:49.780000
87,Daniele MEUCCI,5000 Metres,2005,0 days 00:14:21.260000
88,Daniele MEUCCI,5000 Metres,2006,0 days 00:13:53.400000
89,Daniele MEUCCI,5000 Metres,2007,0 days 00:13:50.270000
90,Daniele MEUCCI,5000 Metres,2008,0 days 00:13:45.400000
91,Daniele MEUCCI,5000 Metres,2009,0 days 00:13:26.090000
92,Daniele MEUCCI,5000 Metres,2010,0 days 00:13:24.380000
93,Daniele MEUCCI,5000 Metres,2011,0 days 00:13:24.940000
94,Daniele MEUCCI,5000 Metres,2012,0 days 00:13:19
95,Daniele MEUCCI,5000 Metres,2013,0 days 00:13:45.120000
96,Daniele MEUCCI,5000 Metres,2014,0 days 00:13:36.830000
97,Daniele MEUCCI,5000 Metres,2017,0 days 00:13:38.940000
98,Daniele MEUCCI,"10,000 Metres",2005,0 days 00:29:44.050000
99,Daniele MEUCCI,"10,000 Metres",2006,0 days 00:28:44.790000
100,Daniele MEUCCI,"10,000 Metres",2007,0 days 00:28:56.700000
101,Daniele MEUCCI,"10,000 Metres",2008,0 days 00:28:08.040000
102,Daniele MEUCCI,"10,000 Metres",2009,0 days 00:28:50.100000
103,Daniele MEUCCI,"10,000 Metres",2010,0 days 00:28:18.560000
104,Daniele MEUCCI,"10,000 Metres",2011,0 days 00:27:44.500000
105,Daniele MEUCCI,"10,000 Metres",2012,0 days 00:27:32.860000
106,Daniele MEUCCI,"10,000 Metres",2013,0 days 00:28:06.740000
107,Daniele MEUCCI,"10,000 Metres",2014,0 days 00:27:36.530000
108,Daniele MEUCCI,"10,000 Metres",2016,0 days 00:28:24.710000
109,Daniele MEUCCI,"10,000 Metres",2017,0 days 00:28:33.720000
110,Daniele MEUCCI,"10,000 Metres",2018,0 days 00:28:38.940000
111,Daniele MEUCCI,"10,000 Metres",2019,0 days 00:28:38.350000
112,Daniele MEUCCI,10 Kilometres Road,2005,0 days 00:29:31
