,Name,Race,Year,Time
0,Miyaka SUGATA,1500 Metres,2018,0 days 00:04:25.790000
1,Miyaka SUGATA,5000 Metres,2019,0 days 00:15:30.640000
2,Miyaka SUGATA,5000 Metres,2020,0 days 00:15:31.600000
3,Miyaka SUGATA,5000 Metres,2021,0 days 00:15:50.440000
4,Miyaka SUGATA,5000 Metres,2022,0 days 00:16:07.990000
5,Miyaka SUGATA,5000 Metres,2023,0 days 00:15:32
6,Miyaka SUGATA,"10,000 Metres",2023,0 days 00:31:49.200000
7,Miyaka SUGATA,"10,000 Metres",2024,0 days 00:32:02.520000
8,Miranda STANHOPE,1500 Metres,2021,0 days 00:04:47.530000
9,Miranda STANHOPE,1500 Metres,2022,0 days 00:04:34.910000
10,Miranda STANHOPE,1500 Metres,2023,0 days 00:04:30.560000
11,Miranda STANHOPE,5000 Metres,2021,0 days 00:17:15.140000
12,Miranda STANHOPE,5000 Metres,2022,0 days 00:16:27.600000
13,Miranda STANHOPE,5000 Metres,2023,0 days 00:16:14.310000
14,Miranda STANHOPE,5000 Metres,2024,0 days 00:16:11
15,Miranda STANHOPE,"10,000 Metres",2022,0 days 00:34:22.410000
16,Miranda STANHOPE,"10,000 Metres",2023,0 days 00:34:53.270000
17,Miranda STANHOPE,"10,000 Metres",2024,0 days 00:33:43.480000
18,Tigist KETEMA,1500 Metres,2019,0 days 00:04:05.090000
19,Tigist KETEMA,1500 Metres,2020,0 days 00:04:07.400000
20,Tigist KETEMA,1500 Metres,2021,0 days 00:04:00.910000
21,Tigist KETEMA,1500 Metres,2022,0 days 00:04:06.590000
22,Tigist KETEMA,1500 Metres,2023,0 days 00:04:08.840000
23,Tigist KETEMA,5000 Metres,2020,0 days 00:16:10.980000
24,Tigist KETEMA,5000 Metres,2023,0 days 00:15:17.270000
25,Tigist KETEMA,10 Kilometres Road,2022,0 days 00:32:55
26,Tigist KETEMA,Marathon,2024,0 days 02:16:07
27,Kawtar KAHHAZ,1500 Metres,2021,0 days 00:04:30.590000
28,Kawtar KAHHAZ,5000 Metres,2022,0 days 00:17:20.850000
29,Kawtar KAHHAZ,5000 Metres,2023,0 days 00:16:36.180000
30,Kawtar KAHHAZ,"10,000 Metres",2023,0 days 00:34:43.690000
31,Kawtar KAHHAZ,10 Kilometres Road,2022,0 days 00:34:00
32,Kawtar KAHHAZ,Half Marathon,2022,0 days 01:17:22
33,Kawtar KAHHAZ,Half Marathon,2023,0 days 01:15:09
34,Kawtar KAHHAZ,Half Marathon,2024,0 days 01:11:06
35,Lydia Njeri MATHATHI,10 Kilometres Road,2007,0 days 00:33:21
36,Lydia Njeri MATHATHI,10 Kilometres Road,2009,0 days 00:33:26
37,Lydia Njeri MATHATHI,10 Kilometres Road,2011,0 days 00:34:15
38,Lydia Njeri MATHATHI,10 Kilometres Road,2016,0 days 00:36:35
39,Lydia Njeri MATHATHI,10 Kilometres Road,2019,0 days 00:33:53
40,Lydia Njeri MATHATHI,Half Marathon,2007,0 days 01:12:56
41,Lydia Njeri MATHATHI,Half Marathon,2008,0 days 01:11:16
42,Lydia Njeri MATHATHI,Half Marathon,2009,0 days 01:10:08
43,Lydia Njeri MATHATHI,Half Marathon,2010,0 days 01:12:18
44,Lydia Njeri MATHATHI,Half Marathon,2011,0 days 01:13:58
45,Lydia Njeri MATHATHI,Half Marathon,2019,0 days 01:07:51
46,Lydia Njeri MATHATHI,Half Marathon,2022,0 days 01:11:00
47,Lydia Njeri MATHATHI,Half Marathon,2023,0 days 01:12:56
48,Lydia Njeri MATHATHI,Marathon,2010,0 days 02:38:55
49,Lydia Njeri MATHATHI,Marathon,2016,0 days 03:01:21
50,Lydia Njeri MATHATHI,Marathon,2018,0 days 02:44:35
51,Lydia Njeri MATHATHI,Marathon,2021,0 days 02:29:42
52,Lydia Njeri MATHATHI,Marathon,2022,0 days 02:36:38
53,Lydia Njeri MATHATHI,Marathon,2023,0 days 02:37:16
54,Natsuki SEKIYA,5000 Metres,2016,0 days 00:15:33.950000
55,Natsuki SEKIYA,5000 Metres,2017,0 days 00:15:40.420000
56,Natsuki SEKIYA,5000 Metres,2017,0 days 00:15:40.420000
