Name,Year,10 Kilometres Road,"10,000 Metres",1500 Metres,5000 Metres,Half Marathon,Marathon
AJ ERNST,2017,,,0 days 00:03:50.880000,,,
AJ ERNST,2019,,,,0 days 00:14:33.730000,,
AJ ERNST,2021,,,0 days 00:03:39,,,
AJ ERNST,2022,,,0 days 00:03:40.050000,,,
AJ ERNST,2023,,,0 days 00:03:36.980000,,,
AJ ERNST,2024,,,0 days 00:03:37.170000,,,
Aaron AHL,2017,,,0 days 00:04:00.310000,,,
Aaron AHL,2018,,,0 days 00:03:56.760000,,,
Aaron AHL,2019,,,0 days 00:03:51.140000,,,
Aaron AHL,2020,,,,0 days 00:14:45.790000,,
Aaron AHL,2021,,,0 days 00:03:38.740000,,,
Aaron AHL,2022,,,0 days 00:03:39.040000,,,
Aaron AHL,2023,,,0 days 00:03:38.510000,,,
Aarón LAS HERAS,2016,,,0 days 00:03:59.080000,,,
Aarón LAS HERAS,2017,,,0 days 00:03:49.870000,0 days 00:14:50.850000,,
Aarón LAS HERAS,2018,,,0 days 00:03:46.070000,0 days 00:14:14.990000,,
Aarón LAS HERAS,2019,,,0 days 00:03:49.970000,0 days 00:14:02.760000,,
Aarón LAS HERAS,2020,,,0 days 00:03:43,0 days 00:14:27.120000,,
Aarón LAS HERAS,2021,,,0 days 00:03:42.890000,0 days 00:13:42.210000,,
Aarón LAS HERAS,2022,,0 days 00:29:31.910000,0 days 00:03:46,0 days 00:13:38.020000,,
Aarón LAS HERAS,2023,,,0 days 00:03:36.390000,0 days 00:13:27.470000,,
Aarón LAS HERAS,2024,,0 days 00:28:19.430000,0 days 00:03:44.900000,0 days 00:13:16.680000,,
Abayneh DEGU,2015,0 days 00:28:05,,,,,
Abayneh DEGU,2016,,,,,0 days 01:01:43,
Abayneh DEGU,2017,,0 days 00:28:13.600000,,0 days 00:13:25.550000,,
Abayneh DEGU,2018,0 days 00:28:03,0 days 00:27:59.770000,,0 days 00:13:36.850000,0 days 01:01:01,
Abayneh DEGU,2019,0 days 00:27:51,,,0 days 00:13:44.100000,0 days 00:59:58,
Abayneh DEGU,2021,,,,,,0 days 02:04:53
Abayneh DEGU,2022,,,,,0 days 01:00:25,0 days 02:06:03
Abayneh DEGU,2023,,,,,,0 days 02:08:28
Abayneh DEGU,2024,,,,,,0 days 02:16:25
Abbabiya SIMBASSA,2013,,0 days 00:32:00.500000,0 days 00:03:54.560000,0 days 00:14:51.700000,,
Abbabiya SIMBASSA,2014,,0 days 00:28:42.560000,0 days 00:03:48.060000,0 days 00:14:07.280000,,
Abbabiya SIMBASSA,2015,,0 days 00:29:21,0 days 00:03:46.890000,0 days 00:14:01.870000,,
Abbabiya SIMBASSA,2016,0 days 00:29:59,,,0 days 00:13:29.510000,0 days 01:03:28,
Abbabiya SIMBASSA,2017,,0 days 00:27:45.780000,,0 days 00:13:25.790000,,
Abbabiya SIMBASSA,2019,0 days 00:29:09,,,0 days 00:13:46.970000,,
Abbabiya SIMBASSA,2020,,0 days 00:28:29.960000,,0 days 00:13:43.310000,,
Abbabiya SIMBASSA,2021,0 days 00:28:39,0 days 00:27:59.940000,0 days 00:03:39.880000,0 days 00:13:19.120000,,
Abbabiya SIMBASSA,2022,0 days 00:28:13,0 days 00:28:01.420000,,0 days 00:13:33.560000,0 days 01:00:37,
Abbabiya SIMBASSA,2023,0 days 00:28:19,,,,0 days 01:00:42,0 days 02:10:34
Abbabiya SIMBASSA,2024,,,,,0 days 01:00:45,0 days 02:12:21
Abdel LAADJEL,2021,,,,0 days 00:14:10.360000,,
Abdel LAADJEL,2022,,0 days 00:29:23.920000,,0 days 00:14:02.940000,,
Abdel LAADJEL,2023,,0 days 00:29:12.500000,,0 days 00:13:50.030000,,
Abdel LAADJEL,2024,,0 days 00:28:56.340000,,0 days 00:13:46.370000,,
Abdela GODANA,2014,,,,,,0 days 02:13:28
Abdela GODANA,2015,,,,,,0 days 02:11:37
Abdela GODANA,2016,,,,,,0 days 02:12:17
Abdela GODANA,2017,,,,,,0 days 02:09:45
Abdela GODANA,2018,,,,,,0 days 02:08:32
Abdela GODANA,2019,,,,,,0 days 02:09:04
Abdela GODANA,2020,,,,,,0 days 02:08:06
Abdela GODANA,2021,,,,,,0 days 02:10:14
Abdela GODANA,2022,,,,,,0 days 02:08:44
Abdela GODANA,2023,,,,,,0 days 02:11:31
Abdela GODANA,2024,,,,,,0 days 02:12:27
Abdelaati IGUIDER,2004,,,0 days 00:03:35.530000,,,
Abdelaati IGUIDER,2005,,,0 days 00:03:35.630000,,,
Abdelaati IGUIDER,2006,,,0 days 00:03:32.680000,,,
Abdelaati IGUIDER,2007,,,0 days 00:03:32.750000,,,
Abdelaati IGUIDER,2008,,,0 days 00:03:31.880000,,,
Abdelaati IGUIDER,2009,,,0 days 00:03:31.470000,,,
Abdelaati IGUIDER,2010,,,0 days 00:03:34.250000,,,
Abdelaati IGUIDER,2011,,,0 days 00:03:31.600000,,,
Abdelaati IGUIDER,2012,,,0 days 00:03:33.990000,0 days 00:13:09.170000,,
Abdelaati IGUIDER,2013,,,0 days 00:03:33.290000,,,
Abdelaati IGUIDER,2014,,,0 days 00:03:29.830000,,,
Abdelaati IGUIDER,2015,,,0 days 00:03:28.790000,0 days 00:12:59.250000,,
Abdelaati IGUIDER,2016,,,0 days 00:03:31.400000,0 days 00:13:08.610000,,
Abdelaati IGUIDER,2017,,,0 days 00:03:34.990000,,,
Abdelaati IGUIDER,2018,,,0 days 00:03:31.590000,,,
Abdelaati IGUIDER,2019,,,0 days 00:03:31.640000,0 days 00:13:17.740000,,
Abdelaati IGUIDER,2020,0 days 00:28:22,,,,,
Abdelaati IGUIDER,2021,,,0 days 00:03:37.120000,0 days 00:13:14.470000,,
Abdelaati IGUIDER,2022,,,,,0 days 01:04:49,0 days 02:10:42
Abdelaati IGUIDER,2023,0 days 00:28:17,,,0 days 00:13:14.550000,,
Abdelaziz MERZOUGUI,2007,,,0 days 00:04:01.820000,,,
Abdelaziz MERZOUGUI,2008,0 days 00:30:30,,0 days 00:03:52.670000,0 days 00:14:39.140000,,
Abdelaziz MERZOUGUI,2009,,,0 days 00:03:51.660000,,,
Abdelaziz MERZOUGUI,2010,,,0 days 00:03:44.710000,,,
Abdelaziz MERZOUGUI,2011,0 days 00:30:37,,0 days 00:03:41.520000,,,
Abdelaziz MERZOUGUI,2012,,,0 days 00:04:11.960000,,,
Abdelaziz MERZOUGUI,2013,,,0 days 00:03:44.840000,0 days 00:14:08.140000,,
Abdelaziz MERZOUGUI,2014,0 days 00:29:17,,0 days 00:04:12.200000,,,
Abdelaziz MERZOUGUI,2015,0 days 00:28:56,,0 days 00:03:43.780000,,,
Abdelaziz MERZOUGUI,2016,0 days 00:29:38,,,,,
