Name,Year,10 Kilometres Road,"10,000 Metres",1500 Metres,5000 Metres,Half Marathon,Marathon
. ANKITA,2018,,,0 days 00:04:36.670000,,,
. ANKITA,2019,,,0 days 00:04:22.950000,0 days 00:17:16.490000,,
. ANKITA,2020,,,0 days 00:04:22.190000,0 days 00:16:38.750000,,
. ANKITA,2021,,,0 days 00:04:19.310000,0 days 00:16:21.190000,,
. ANKITA,2022,,0 days 00:34:39.050000,0 days 00:04:16.070000,0 days 00:16:13.540000,,
. ANKITA,2023,,,0 days 00:04:16.200000,0 days 00:15:33.030000,,
. ANKITA,2024,,0 days 00:32:48.710000,,0 days 00:15:28.080000,,
. SEEMA,2017,,,,0 days 00:17:49.290000,,
. SEEMA,2018,,,,0 days 00:17:24.410000,,
. SEEMA,2019,,,0 days 00:04:42.360000,0 days 00:17:03.140000,,
. SEEMA,2020,,,0 days 00:04:44.370000,0 days 00:17:31.500000,0 days 01:17:32,
. SEEMA,2021,,0 days 00:34:57.170000,,,,
. SEEMA,2022,,0 days 00:33:58.800000,,0 days 00:15:40.600000,,
. SEEMA,2023,0 days 00:34:30,0 days 00:33:20.750000,,0 days 00:15:44.050000,,
. SEEMA,2024,,0 days 00:32:07.670000,,0 days 00:15:50.510000,,
Aamelmal TAGEL,2021,,,,,0 days 01:17:05,
Aamelmal TAGEL,2023,,,,,,0 days 02:28:09
Aamelmal TAGEL,2024,,,,,,0 days 02:37:26
Ababel YESHANEH,2011,0 days 00:33:47,0 days 00:34:10,,,0 days 01:09:54,0 days 02:34:36
Ababel YESHANEH,2012,0 days 00:33:04,,,0 days 00:15:17.050000,0 days 01:13:00,
Ababel YESHANEH,2013,0 days 00:34:00,0 days 00:30:35.910000,,,,0 days 02:33:10
Ababel YESHANEH,2014,0 days 00:34:29,,,,0 days 01:12:11,
Ababel YESHANEH,2015,,0 days 00:31:23.600000,,,0 days 01:11:11,
Ababel YESHANEH,2016,,0 days 00:30:54.120000,,0 days 00:14:41.580000,0 days 01:07:52,
Ababel YESHANEH,2017,,,,,0 days 01:07:21,
Ababel YESHANEH,2018,0 days 00:31:26,,,,0 days 01:05:46,
Ababel YESHANEH,2019,,,,,0 days 01:07:44,0 days 02:20:51
Ababel YESHANEH,2020,,,,,0 days 01:04:31,
Ababel YESHANEH,2021,,,,,,0 days 02:22:52
Ababel YESHANEH,2023,,,,,0 days 01:06:10,
Ababel YESHANEH,2024,,,,,0 days 01:05:44,
Abbe GOLDSTEIN,2017,,,0 days 00:04:34.880000,,,
Abbe GOLDSTEIN,2018,,,0 days 00:04:22.780000,0 days 00:16:31.260000,,
Abbe GOLDSTEIN,2019,,,0 days 00:04:27.710000,0 days 00:16:28.920000,,
Abbe GOLDSTEIN,2021,,,0 days 00:04:10.940000,0 days 00:16:00.620000,,
Abbe GOLDSTEIN,2022,,,0 days 00:04:15.790000,0 days 00:16:23.560000,,
Abbe GOLDSTEIN,2023,,,0 days 00:04:10.320000,,,
Abbe GOLDSTEIN,2024,,,0 days 00:04:17.060000,,,
Abbey CALDWELL,2014,,,0 days 00:04:45.480000,,,
Abbey CALDWELL,2015,,,0 days 00:04:39.920000,,,
Abbey CALDWELL,2016,,,0 days 00:04:33.350000,,,
Abbey CALDWELL,2017,,,0 days 00:04:29.470000,,,
Abbey CALDWELL,2018,,,0 days 00:04:18.840000,0 days 00:16:40.790000,,
Abbey CALDWELL,2019,0 days 00:36:20,,0 days 00:04:27.770000,,,
Abbey CALDWELL,2020,,,0 days 00:04:13.090000,,,
Abbey CALDWELL,2021,,,0 days 00:04:07.690000,,,
Abbey CALDWELL,2022,,,0 days 00:04:04.180000,,,
Abbey CALDWELL,2023,,,0 days 00:03:59.790000,,,
Abbey CALDWELL,2024,,,0 days 00:04:12.360000,,,
Abbie DONNELLY,2011,,,0 days 00:04:54,,,
Abbie DONNELLY,2012,,,0 days 00:04:40.920000,,,
Abbie DONNELLY,2013,,,0 days 00:04:39.940000,,,
Abbie DONNELLY,2014,,,0 days 00:04:35.540000,,,
Abbie DONNELLY,2015,,,0 days 00:04:33.080000,,,
Abbie DONNELLY,2017,0 days 00:36:22,0 days 00:35:36.040000,0 days 00:04:55.650000,0 days 00:17:16.020000,,
Abbie DONNELLY,2018,,,,0 days 00:16:31.890000,,
Abbie DONNELLY,2019,0 days 00:34:31,0 days 00:33:56.130000,,0 days 00:16:21.440000,,
Abbie DONNELLY,2021,0 days 00:33:04,0 days 00:33:31.310000,,0 days 00:15:42.650000,,
Abbie DONNELLY,2022,,0 days 00:32:20.820000,,0 days 00:15:54.110000,,
Abbie DONNELLY,2023,,0 days 00:32:10.160000,,0 days 00:15:56.530000,0 days 01:10:31,
Abbie DONNELLY,2024,0 days 00:31:59,,,,0 days 01:09:10,
Abby NICHOLS,2018,,,0 days 00:04:26.140000,0 days 00:16:31.500000,,
Abby NICHOLS,2019,,,0 days 00:04:21.760000,0 days 00:15:56.520000,,
Abby NICHOLS,2020,,,,0 days 00:16:38.250000,,
Abby NICHOLS,2021,,0 days 00:32:49.870000,0 days 00:04:27.710000,0 days 00:15:44.470000,,
Abby NICHOLS,2022,,0 days 00:32:27.250000,0 days 00:04:14.820000,0 days 00:15:15.950000,,
Abby NICHOLS,2023,,,0 days 00:04:07.470000,0 days 00:15:09.600000,,
Abebech AFEWORK,2008,0 days 00:34:50,,,,,
Abebech AFEWORK,2009,0 days 00:34:07,0 days 00:32:52.670000,,,0 days 01:11:15,
Abebech AFEWORK,2010,0 days 00:32:35,,,,0 days 01:10:49,
Abebech AFEWORK,2011,0 days 00:32:26,0 days 00:32:05.060000,,,0 days 01:10:30,
Abebech AFEWORK,2012,,0 days 00:31:48.530000,,,0 days 01:11:19,
Abebech AFEWORK,2013,,,,,0 days 01:11:58,0 days 02:23:59
Abebech AFEWORK,2014,,,,,,0 days 02:25:02
Abebech AFEWORK,2015,,,,,0 days 01:09:14,0 days 02:23:33
Abebech AFEWORK,2016,,,,,,0 days 02:24:27
Abebech AFEWORK,2017,,,,,,0 days 02:25:34
Abebech AFEWORK,2018,,,,,,0 days 02:25:02
Abebech AFEWORK,2019,0 days 00:34:56,,,,,0 days 02:31:31
Abebech AFEWORK,2021,,,,,,0 days 02:29:43
Abebech AFEWORK,2022,,,,,,0 days 02:26:18
Abebech AFEWORK,2023,,,,,,0 days 02:29:56
Abebech AFEWORK,2024,,,,,,0 days 02:33:07
Aberash DEMISSE,2024,,,,,,0 days 02:29:04
Aberash FAYESA,2015,,,,,0 days 01:14:12,0 days 02:32:30
Aberash FAYESA,2016,,,,,,0 days 02:39:09
Aberash FAYESA,2017,,,,,0 days 01:11:35,0 days 02:27:04
Aberash FAYESA,2018,,,,,,0 days 02:29:05
Aberash FAYESA,2019,,,,,,0 days 02:28:14
Aberash FAYESA,2021,,,,,,0 days 02:25:32
Aberash FAYESA,2022,,0 days 00:33:16.020000,,,,0 days 02:26:43
Aberash FAYESA,2023,,,,,0 days 01:10:50,0 days 02:24:59
Aberash FAYESA,2024,,,,,,0 days 02:39:15
Aberash SHILIMA,2023,,,,,0 days 01:07:28,
Aberash SHILIMA,2024,0 days 00:31:36,,,,0 days 01:08:02,
Abersh MINSEWO,2018,,,,0 days 00:15:07.900000,,
Abersh MINSEWO,2021,0 days 00:30:58,,,0 days 00:14:50.880000,,
Abersh MINSEWO,2022,,0 days 00:31:13.530000,,0 days 00:14:47.980000,,
Abersh MINSEWO,2023,0 days 00:32:49,,0 days 00:04:15.310000,0 days 00:15:10.130000,0 days 01:08:38,
Abersh MINSEWO,2024,0 days 00:31:23,,,,,0 days 02:26:06
Aberu AYANA,2018,,,,,,0 days 02:36:32
Aberu AYANA,2019,0 days 00:32:46,,,,0 days 01:12:15,0 days 02:28:49
Aberu AYANA,2020,,,,,,0 days 02:43:20
Aberu AYANA,2021,,,,,,0 days 02:28:02
Aberu AYANA,2022,0 days 00:33:08,,,,,0 days 02:28:26
Aberu AYANA,2023,,,,,,0 days 02:21:54
Aberu AYANA,2024,,0 days 00:34:45.370000,,,0 days 01:08:51,0 days 02:27:00
Aberu Mekuria ZENNEBE,2010,,,,,,0 days 02:42:56
Aberu Mekuria ZENNEBE,2011,,,,,0 days 01:12:55,0 days 02:32:24
Aberu Mekuria ZENNEBE,2012,,,,,,0 days 02:27:20
Aberu Mekuria ZENNEBE,2013,,,,,,0 days 02:26:07
Aberu Mekuria ZENNEBE,2014,,,,,,0 days 02:33:21
Aberu Mekuria ZENNEBE,2015,,,,,,0 days 02:25:30
Aberu Mekuria ZENNEBE,2016,,,,,0 days 01:13:12,0 days 02:27:41
Aberu Mekuria ZENNEBE,2017,,,,,,0 days 02:26:17
Aberu Mekuria ZENNEBE,2018,,,,,,0 days 02:24:35
Aberu Mekuria ZENNEBE,2019,,,,,,0 days 02:24:30
Aberu Mekuria ZENNEBE,2022,,,,,,0 days 02:28:33
Aberu Mekuria ZENNEBE,2023,,,,,,0 days 02:29:07
Abigael JELIMO,2022,0 days 00:33:53,,,,0 days 01:10:19,
Abigael JELIMO,2023,0 days 00:33:56,,,0 days 00:16:10.510000,,0 days 02:30:11
Abigael JELIMO,2024,,,,,,0 days 02:54:56
Abigail HASSMAN,2021,,,0 days 00:04:38.960000,0 days 00:16:53.420000,,
Abigail HASSMAN,2022,,,0 days 00:04:30.440000,0 days 00:16:30.410000,,
Abigail HASSMAN,2023,,,,0 days 00:15:56.990000,,
Abigail HASSMAN,2024,,,0 days 00:04:18.600000,0 days 00:15:41.400000,,
Abir REFFAS,2014,,,0 days 00:04:33.490000,,,
Abir REFFAS,2016,,,0 days 00:04:30.070000,,,
Abir REFFAS,2017,,,0 days 00:04:26.760000,,,
Abir REFFAS,2021,,,0 days 00:04:36.040000,,,
Abir REFFAS,2022,,,0 days 00:04:18.270000,,,
Abir REFFAS,2023,,,0 days 00:04:14.900000,,,
Abir REFFAS,2024,,,,0 days 00:15:51.470000,,
Adanech MEKONNEN,2016,,,,,0 days 01:17:39,
Adanech MEKONNEN,2017,0 days 00:33:44,,,,,
Adanech MEKONNEN,2018,0 days 00:34:03,,0 days 00:04:40.790000,,,
Adanech MEKONNEN,2019,0 days 00:33:30,,0 days 00:04:40.070000,,0 days 01:16:46,
Adanech MEKONNEN,2022,0 days 00:34:27,,,0 days 00:16:27.950000,0 days 01:15:43,
Adanech MEKONNEN,2023,0 days 00:33:27,,,,,
Adanech MEKONNEN,2024,,,,,,0 days 02:33:05
Adawork ABERTA,2015,,,,,0 days 01:12:22,
Adawork ABERTA,2016,,,,,0 days 01:13:16,
Adawork ABERTA,2017,0 days 00:33:57,,,,0 days 01:18:04,
Adawork ABERTA,2018,,,,,0 days 01:13:12,
Adawork ABERTA,2019,0 days 00:32:27,,,,0 days 01:11:44,
Adawork ABERTA,2022,,,,,,0 days 02:23:39
Adawork ABERTA,2023,,,,,,0 days 02:26:19
Addisalem BELAY,2018,0 days 00:34:47,,,0 days 00:16:43.200000,0 days 01:12:22,
Addisalem BELAY,2019,,,,,0 days 01:11:07,
Addisalem BELAY,2020,,,,,0 days 01:21:27,
Addisalem BELAY,2021,0 days 00:32:53,0 days 00:34:22.070000,,,0 days 01:11:27,
Addisalem BELAY,2022,,,,,0 days 01:10:18,
Addisalem BELAY,2023,0 days 00:33:33,,,,0 days 01:10:38,
Addison WILEY,2021,,,,0 days 00:17:16.150000,,
Addison WILEY,2022,,,0 days 00:04:11.430000,,,
Addison WILEY,2023,,,0 days 00:03:59.170000,,,
Addison WILEY,2024,,,0 days 00:04:03.450000,,,
Adela HONORATO,2022,,0 days 00:36:01.220000,0 days 00:04:37.930000,0 days 00:17:19.160000,0 days 01:17:27,
Adela HONORATO,2023,0 days 00:34:11,0 days 00:34:21.060000,,0 days 00:16:27.980000,0 days 01:16:18,0 days 02:33:59
Adela HONORATO,2024,,0 days 00:36:43.410000,,0 days 00:17:12.150000,,0 days 02:32:40
Adelle TRACEY,2010,,,0 days 00:04:33.510000,,,
Adelle TRACEY,2011,,,0 days 00:04:56.080000,,,
Adelle TRACEY,2012,,,0 days 00:04:30.030000,,,
Adelle TRACEY,2014,,,0 days 00:04:22.080000,,,
Adelle TRACEY,2017,,,0 days 00:04:10.300000,,,
Adelle TRACEY,2018,,,0 days 00:04:15.470000,,,
Adelle TRACEY,2020,,,0 days 00:04:07.470000,,,
Adelle TRACEY,2021,,,0 days 00:04:06.560000,,,
Adelle TRACEY,2022,,,0 days 00:04:02.360000,,,
Adelle TRACEY,2023,,,0 days 00:03:58.770000,,,
Adèle GAY,2019,,,0 days 00:04:51.270000,,,
Adèle GAY,2021,,,0 days 00:04:36.420000,,,
Adèle GAY,2022,,,0 days 00:04:25.450000,,,
Adèle GAY,2023,,,0 days 00:04:20.180000,,,
Adèle GAY,2024,,,0 days 00:04:19.980000,,,
Afera GODFAY,2010,,,0 days 00:04:18.590000,0 days 00:16:14.280000,,
Afera GODFAY,2011,0 days 00:32:54,,,,0 days 01:22:56,
Afera GODFAY,2012,0 days 00:31:52,0 days 00:34:30.230000,0 days 00:04:17.170000,0 days 00:15:01.200000,,
Afera GODFAY,2013,0 days 00:32:06,0 days 00:31:08.230000,0 days 00:04:20.330000,0 days 00:15:20.380000,0 days 01:13:19,
Afera GODFAY,2014,,,,,0 days 01:09:52,
Afera GODFAY,2015,,,,,0 days 01:09:51,0 days 02:32:44
Afera GODFAY,2016,0 days 00:31:49,,,,0 days 01:08:32,0 days 02:34:44
Afera GODFAY,2017,0 days 00:32:59,,,,0 days 01:09:55,0 days 02:28:46
Afera GODFAY,2018,,,,,0 days 01:12:20,0 days 02:23:54
Afera GODFAY,2019,,,,,0 days 01:08:53,0 days 02:22:41
Afera GODFAY,2020,,,,,,0 days 02:26:42
Afera GODFAY,2023,,,,,0 days 01:10:25,0 days 02:23:15
Afera GODFAY,2024,,,,,,0 days 02:28:00
Agate CAUNE,2018,,,0 days 00:04:48.890000,,,
Agate CAUNE,2019,,,0 days 00:04:45.310000,,,
Agate CAUNE,2020,,,0 days 00:04:32.710000,0 days 00:17:26.410000,,
Agate CAUNE,2021,,,0 days 00:04:27.610000,0 days 00:16:17.560000,,
Agate CAUNE,2022,0 days 00:33:16,0 days 00:31:55.790000,0 days 00:04:18.150000,0 days 00:15:43.560000,,
Agate CAUNE,2023,0 days 00:33:10,0 days 00:33:11.800000,0 days 00:04:14.790000,0 days 00:15:00.480000,,
Agate CAUNE,2024,,,,0 days 00:15:18.540000,,
Agathe GUILLEMOT,2019,,,0 days 00:04:45.450000,,,
Agathe GUILLEMOT,2022,,,0 days 00:04:12.430000,,,
Agathe GUILLEMOT,2023,,,0 days 00:04:03.260000,,,
Agathe GUILLEMOT,2024,,,0 days 00:04:04.640000,,,
Agnes Jebet NGETICH,2016,,,,0 days 00:16:53.070000,,
Agnes Jebet NGETICH,2017,,,0 days 00:04:27,0 days 00:15:59.060000,,
Agnes Jebet NGETICH,2018,,,,0 days 00:15:58.580000,,
Agnes Jebet NGETICH,2019,,,,0 days 00:15:56.040000,,
Agnes Jebet NGETICH,2020,,,,0 days 00:17:03.910000,,
Agnes Jebet NGETICH,2021,0 days 00:31:20,,,0 days 00:15:07.340000,,
Agnes Jebet NGETICH,2022,0 days 00:30:30,,,0 days 00:15:18.330000,,
Agnes Jebet NGETICH,2023,0 days 00:29:26,0 days 00:31:34.830000,,0 days 00:14:36.700000,,
Agnes Jebet NGETICH,2024,0 days 00:28:46,,,,,
Agnes KEINO,2018,0 days 00:32:41,,,,0 days 01:15:04,
Agnes KEINO,2019,0 days 00:33:28,,,,,
Agnes KEINO,2021,,,,,,0 days 02:40:58
Agnes KEINO,2022,,,,,0 days 01:08:47,0 days 02:23:26
Agnes KEINO,2023,,,,,,0 days 02:23:44
Agnes Mwikali MUTUKU,2018,,,0 days 00:04:17.170000,,,
Agnes Mwikali MUTUKU,2019,0 days 00:32:33,,0 days 00:04:12.460000,,,
Agnes Mwikali MUTUKU,2020,0 days 00:31:39,,,0 days 00:15:15.140000,,
Agnes Mwikali MUTUKU,2021,0 days 00:31:11,,0 days 00:04:14.320000,0 days 00:14:53.730000,,
Agnes Mwikali MUTUKU,2022,0 days 00:31:56,,0 days 00:04:16.760000,0 days 00:14:51.350000,,
Agnes Mwikali MUTUKU,2023,0 days 00:31:09,0 days 00:31:40.270000,,0 days 00:15:06.960000,,
Agnes Mwikali MUTUKU,2024,,,,0 days 00:15:04.360000,,
Ai FUJITA,2020,,,0 days 00:04:34.840000,,,
Ai FUJITA,2021,,,0 days 00:04:26.060000,,,
Ai FUJITA,2022,,,0 days 00:04:23.160000,0 days 00:16:37.420000,,
Ai FUJITA,2023,0 days 00:33:32,,0 days 00:04:18.460000,0 days 00:16:16.900000,,
Ai FUJITA,2024,0 days 00:33:41,,0 days 00:04:19.060000,,,
Ai HOSODA,2014,,,,0 days 00:16:10.950000,,
Ai HOSODA,2015,,0 days 00:32:41,,0 days 00:16:01.210000,,
Ai HOSODA,2016,,0 days 00:32:26.990000,,0 days 00:16:11.920000,,
Ai HOSODA,2017,,0 days 00:32:39.160000,,0 days 00:15:57.300000,,
Ai HOSODA,2018,,0 days 00:32:21.110000,,,,
Ai HOSODA,2019,,0 days 00:32:06.340000,,0 days 00:16:36.240000,,0 days 02:29:27
Ai HOSODA,2020,,,,,,0 days 02:26:34
Ai HOSODA,2021,,0 days 00:31:39.320000,,0 days 00:15:28.050000,,
Ai HOSODA,2022,,0 days 00:31:35.440000,,0 days 00:15:23.750000,,0 days 02:21:42
Ai HOSODA,2023,,,,,,0 days 02:22:08
Ai YAMADA,2021,,,0 days 00:04:43.360000,,,
Ai YAMADA,2022,,,,0 days 00:16:47.220000,,
Ai YAMADA,2023,,0 days 00:34:15.650000,,,0 days 01:15:26,
Ai YAMADA,2024,,,,,0 days 01:12:27,
Aiko FUJITA,2018,,,0 days 00:04:35.790000,0 days 00:16:36.590000,,
Aiko FUJITA,2019,,,,0 days 00:16:30.420000,,
Aiko FUJITA,2020,0 days 00:35:00,,,0 days 00:16:34.530000,,
Aiko FUJITA,2021,,,,0 days 00:17:29.500000,0 days 01:13:53,
Aiko FUJITA,2022,,0 days 00:35:46.900000,0 days 00:04:32.570000,0 days 00:16:21.510000,0 days 01:15:17,
Aiko FUJITA,2023,,0 days 00:34:23.350000,,0 days 00:16:30.450000,0 days 01:12:26,
Aisha PRAUGHT LEER,2009,,,0 days 00:04:40.970000,,,
Aisha PRAUGHT LEER,2010,,,0 days 00:04:29.850000,,,
Aisha PRAUGHT LEER,2011,,,0 days 00:04:31.610000,0 days 00:17:15.650000,,
Aisha PRAUGHT LEER,2012,,,0 days 00:04:16.060000,0 days 00:17:03.960000,,
Aisha PRAUGHT LEER,2013,,,0 days 00:04:16.660000,,,
Aisha PRAUGHT LEER,2014,,,0 days 00:04:15.570000,,,
Aisha PRAUGHT LEER,2015,,,0 days 00:04:05.520000,,,
Aisha PRAUGHT LEER,2016,,,0 days 00:04:11.570000,,,
Aisha PRAUGHT LEER,2018,,,0 days 00:04:04.950000,,,
Aisha PRAUGHT LEER,2019,,,0 days 00:04:06.110000,0 days 00:15:07.500000,,
Aisha PRAUGHT LEER,2021,,,0 days 00:04:09.730000,,,
Aisha PRAUGHT LEER,2022,,,0 days 00:04:15.670000,0 days 00:15:19.210000,,
Aisha PRAUGHT LEER,2023,,,0 days 00:04:13.020000,0 days 00:15:24.850000,,
Aisha PRAUGHT LEER,2024,,,,0 days 00:16:36.990000,,
Aiwa SAKAGUCHI,2020,,0 days 00:36:47.340000,0 days 00:04:37.290000,0 days 00:17:14.830000,,
Aiwa SAKAGUCHI,2021,,,0 days 00:04:34.080000,0 days 00:16:31.750000,,
Aiwa SAKAGUCHI,2022,,,0 days 00:04:36.150000,0 days 00:16:10.810000,,
Aiwa SAKAGUCHI,2023,,0 days 00:33:26.280000,,0 days 00:16:22.180000,0 days 01:14:32,
Aiwa SAKAGUCHI,2024,,,,,0 days 01:17:52,
Akane YABUSHITA,2007,,,0 days 00:04:25.050000,,,
Akane YABUSHITA,2008,,,0 days 00:04:22.430000,0 days 00:16:11.590000,,
Akane YABUSHITA,2009,,,0 days 00:04:21.620000,0 days 00:16:18.860000,,
Akane YABUSHITA,2010,,,0 days 00:04:18.840000,0 days 00:15:46.470000,,
Akane YABUSHITA,2011,,,0 days 00:04:20,0 days 00:15:44.310000,,
Akane YABUSHITA,2012,,,,0 days 00:15:50.070000,,
Akane YABUSHITA,2013,,,,0 days 00:15:52.950000,,
Akane YABUSHITA,2014,,,,0 days 00:15:54.760000,,
Akane YABUSHITA,2015,,0 days 00:32:13.550000,,0 days 00:15:36.840000,0 days 01:13:11,
Akane YABUSHITA,2016,,0 days 00:33:35.790000,,0 days 00:15:53.580000,0 days 01:14:44,
Akane YABUSHITA,2017,,,,0 days 00:15:48.430000,,
Akane YABUSHITA,2018,0 days 00:33:11,,,0 days 00:15:48.540000,,
Akane YABUSHITA,2019,,,0 days 00:04:25.020000,0 days 00:15:50.060000,0 days 01:14:29,
Akane YABUSHITA,2020,,0 days 00:32:47.170000,,0 days 00:15:42.240000,0 days 01:13:06,
Akane YABUSHITA,2021,,0 days 00:32:26.240000,0 days 00:04:17.880000,0 days 00:15:50.100000,0 days 01:12:09,
Akane YABUSHITA,2022,,0 days 00:33:35.390000,0 days 00:04:26.010000,0 days 00:16:15.580000,0 days 01:16:15,
Akane YABUSHITA,2023,,0 days 00:32:43.890000,0 days 00:04:16.950000,0 days 00:15:52.580000,0 days 01:14:56,
Akane YABUSHITA,2024,,0 days 00:34:45.560000,0 days 00:04:18.040000,0 days 00:16:04.620000,,
Akina FUJIMURA,2017,,,,0 days 00:16:21.460000,,
Akina FUJIMURA,2018,,,,0 days 00:17:01.250000,,
Akina FUJIMURA,2019,,,,0 days 00:17:49.590000,,
Akina FUJIMURA,2020,,,,0 days 00:16:13.330000,0 days 01:15:37,
