Name,Races
Miyaka SUGATA,"[['1500 Metres', 'Year Performance Venue Date', '2018 4:25.79 Ise (JPN) 02 AUG 2018'], ['3000 Metres', 'Year Performance Venue Date', '2017 9:17.97 Kitakyushu (JPN) 15 JUN 2017', '2018 9:21.16 Buenos Aires (ARG) 11 OCT 2018', '2019 9:19.59 Yanmar Stadium Nagai, Osaka (JPN) 20 SEP 2019', '2020 9:12.94 Prefectural Stadium, Kumagaya (JPN) 18 SEP 2020', '2021 9:30.08 NITTAIDAI Athletic Stadium, Yokohama (JPN) 04 DEC 2021', '2022 9:20.50 Aoba Park Athletic Field, Chitose (JPN) 16 JUL 2022', '2023 9:12.94 Aoba Park Athletic Field, Chitose (JPN) 15 JUL 2023'], ['5000 Metres', 'Year Performance Venue Date', '2019 15:30.64 NITTAIDAI Athletic Stadium, Yokohama (JPN) 30 NOV 2019', '2020 15:31.60 Prefectural Stadium, Kumagaya (JPN) 20 SEP 2020', '2021 15:50.44 Yanmar Stadium Nagai, Osaka (JPN) 27 JUN 2021', '2022 16:07.99 Takebishi Stadium, Kyoto (JPN) 10 DEC 2022', '2023 15:32.00 NITTAIDAI Athletic Stadium, Yokohama (JPN) 02 DEC 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2023 31:49.20 National Stadium, Tokyo (JPN) 10 DEC 2023', '2024 32:02.52 Prefectural Shizuoka Stadium, Fukuroi (JPN) 03 MAY 2024']]"
Miranda STANHOPE,"[['1500 Metres', 'Year Performance Venue Date', '2021 4:47.53 Zable Stadium - College of William & Mary, Williamsburg, VA (USA) 02 APR 2021', '2022 4:34.91 George Mason Stadium, Fairfax, VA (USA) 09 APR 2022', '2023 4:30.56 George Mason Stadium, Fairfax, VA (USA) 08 APR 2023'], ['3000 Metres', 'Year Performance Venue Date', '2021 9:52.87 Sentara Park, Harrisonburg, VA (USA) 17 APR 2021', '2022 9:47.83 Liberty Indoor Complex, Lynchburg, VA (USA) (i) 22 JAN 2022', '2023 9:35.15 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 21 FEB 2023', '2024 9:30.99 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 20 FEB 2024'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2021 10:00.48 Corps Physical Training Facility, Lexington, VA (USA) (i) 30 JAN 2021', '2022 9:47.83 Liberty Indoor Complex, Lynchburg, VA (USA) (i) 22 JAN 2022', '2023 9:35.15 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 21 FEB 2023', '2024 9:30.99 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 20 FEB 2024'], ['5000 Metres', 'Year Performance Venue Date', '2021 17:15.14 Sentara Park, Harrisonburg, VA (USA) 01 MAY 2021', '2022 16:27.60 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 05 MAR 2022', '2023 16:14.31 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 10 FEB 2023', '2024 16:11.00 UVA Lanningan Field, Charlottesville, VA (USA) 19 APR 2024'], ['5000 Metres Short Track', 'Year Performance Venue Date', '2022 16:27.60 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 05 MAR 2022', '2023 16:14.31 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 10 FEB 2023', '2024 16:33.96 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 02 MAR 2024'], ['10,000 Metres', 'Year Performance Venue Date', '2022 34:22.41 Paul Derr TF Facility, Raleigh, NC (USA) 24 MAR 2022', '2023 34:53.27 Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA) 11 MAY 2023', '2024 33:43.48 Franklin Field, Philadelphia, PA (USA) 25 APR 2024'], ['Distance Medley', 'Year Performance Venue Date', '2021 11:58.56 Zable Stadium - College of William & Mary, Williamsburg, VA (USA) 03 APR 2021'], ['Distance Medley Short Track', 'Year Performance Venue Date', '2022 11:53.01 Corps Physical Training Facility, Lexington, VA (USA) (i) 29 JAN 2022']]"
Tigist KETEMA,"[['800 Metres', 'Year Performance Venue Date', '2015 2:06.18 Assela (ETH) 13 MAY 2015', '2016 2:04.53 Assela (ETH) 03 JUN 2016', '2017 2:02.00 Sabadell (ESP) (i) 07 FEB 2017'], ['800 Metres Short Track', 'Year Performance Venue Date', '2017 2:02.00 Sabadell (ESP) (i) 07 FEB 2017'], ['1500 Metres', 'Year Performance Venue Date', '2019 4:05.09 Marseille (FRA) 02 JUL 2019', '2020 4:07.40 Atletická hala, Ostrava (CZE) (i) 05 FEB 2020', '2021 4:00.91 FBK Stadium, Hengelo (NED) 08 JUN 2021', '2022 4:06.59 Hayward Field, Eugene, OR (USA) 28 MAY 2022', '2023 4:08.84 Atletická hala, Ostrava (CZE) (i) 02 FEB 2023'], ['1500 Metres Short Track', 'Year Performance Venue Date', '2020 4:07.40 Atletická hala, Ostrava (CZE) (i) 05 FEB 2020', '2023 4:08.84 Atletická hala, Ostrava (CZE) (i) 02 FEB 2023'], ['Mile', 'Year Performance Venue Date', '2022 4:33.50 Arena Stade Couvert, Liévin (FRA) (i) 17 FEB 2022'], ['Mile Short Track', 'Year Performance Venue Date', '2022 4:33.50 Arena Stade Couvert, Liévin (FRA) (i) 17 FEB 2022'], ['2000 Metres', 'Year Performance Venue Date', '2019 5:41.24 Montreuil (FRA) 11 JUN 2019'], ['3000 Metres', 'Year Performance Venue Date', '2019 8:56.63 Eaubonne (FRA) (i) 12 FEB 2019', '2022 8:43.91 Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i) 14 FEB 2022', ""2023 8:44.08 L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i) 11 FEB 2023""], ['3000 Metres Short Track', 'Year Performance Venue Date', '2019 8:56.63 Eaubonne (FRA) (i) 12 FEB 2019', '2022 8:43.91 Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i) 14 FEB 2022', ""2023 8:44.08 L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i) 11 FEB 2023""], ['5000 Metres', 'Year Performance Venue Date', '2020 16:10.98 Nyayo National Stadium, Nairobi (KEN) 03 OCT 2020', '2023 15:17.27 Boudewijnstadion, Bruxelles (BEL) 08 SEP 2023'], ['10 Kilometres Road', 'Year Performance Venue Date', '2022 32:55 Addis Abeba (ETH) 20 NOV 2022'], ['Marathon', 'Year Performance Venue Date', '2024 2:16:07 Dubai (UAE) 07 JAN 2024']]"
Kawtar KAHHAZ,"[['800 Metres', 'Year Performance Venue Date', '2021 2:15.67 Complexe Sportif Prince Moulay Abdellah, Rabat (MAR) 26 JUN 2021'], ['1500 Metres', 'Year Performance Venue Date', '2021 4:30.59 Complexe Sportif Prince Moulay Abdellah, Rabat (MAR) 25 JUN 2021'], ['5000 Metres', 'Year Performance Venue Date', '2022 17:20.85 Benguerir (MAR) 20 FEB 2022', '2023 16:36.18 Tiflet (MAR) 21 MAY 2023'], ['10,000 Metres', 'Year Performance Venue Date', ""2023 34:43.69 Piste d'athletisme taza, Taza (MAR) 07 MAY 2023""], ['10 Kilometres Road', 'Year Performance Venue Date', '2022 34:00 Kenitra (MAR) 13 NOV 2022'], ['Half Marathon', 'Year Performance Venue Date', '2022 1:17:22 Marrakesh (MAR) 15 MAY 2022', '2023 1:15:09 Rabat (MAR) 30 APR 2023', '2024 1:11:06 Marrakesh (MAR) 28 JAN 2024']]"
Lydia Njeri MATHATHI,"[['5 Kilometres Road', 'Year Performance Venue Date', '2009 16:08 Praha (CZE) 12 SEP 2009'], ['10 Kilometres Road', 'Year Performance Venue Date', '2007 33:21 Roanne (FRA) 15 SEP 2007', '2009 33:26 Paderborn (GER) 11 APR 2009', '2011 34:15 Montereau (FRA) 23 OCT 2011', '2016 36:35 Baringo (KEN) 06 NOV 2016', '2019 33:53 Kabarnet (KEN) 24 AUG 2019'], ['10 Miles Road', 'Year Performance Venue Date', '2009 55:05 Amsterdam (NED) 20 SEP 2009'], ['20 Kilometres Road', 'Year Performance Venue Date', '2008 1:10:42 Maroilles (FRA) 01 MAY 2008'], ['Half Marathon', 'Year Performance Venue Date', '2007 1:12:56 Remich (LUX) 30 SEP 2007', '2008 1:11:16 Ivry-sur-Seine (FRA) 13 APR 2008', '2009 1:10:08 Berlin (GER) 05 APR 2009', '2010 1:12:18 Verbania (ITA) 07 MAR 2010', '2011 1:13:58 Le Havre (FRA) 06 NOV 2011', '2019 1:07:51 Praha (CZE) 06 APR 2019', '2022 1:11:00 Paris (FRA) 06 MAR 2022', '2023 1:12:56 Gent (BEL) 12 MAR 2023'], ['Marathon', 'Year Performance Venue Date', '2010 2:38:55 Madrid (ESP) 25 APR 2010', '2016 3:01:21 Wuhan (CHN) 10 APR 2016', '2018 2:44:35 Chongqing (CHN) 25 MAR 2018', '2021 2:29:42 Porto (POR) 07 NOV 2021', '2022 2:36:38 Porto (POR) 06 NOV 2022', '2023 2:37:16 Genève (SUI) 07 MAY 2023']]"
Natsuki SEKIYA,"[['3000 Metres', 'Year Performance Venue Date', '2015 9:20.07 Kosa (JPN) 22 JUN 2015', '2017 9:28.02 Joensuu (FIN) 12 JUL 2017', '2018 9:41.18 Luzern (SUI) 09 JUL 2018'], ['5000 Metres', 'Year Performance Venue Date', '2016 15:33.95 Abashiri (JPN) 11 JUL 2016', '2017 15:40.42 Hiroshima (JPN) 29 APR 2017', '2017 15:40.42 Hiroshima (JPN) 29 APR 2017', '2018 15:40.47 Hiroshima (JPN) 28 APR 2018', '2019 16:05.77 Sagamihara (JPN) 26 MAY 2019', '2021 15:52.55 NITTAIDAI Athletic Stadium, Yokohama (JPN) 20 SEP 2021', '2022 16:58.56 Griswold Stadium, Portland, OR (USA) 08 JUL 2022', '2023 16:08.03 Municipal Stadium, Hiroshima (JPN) 29 APR 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2016 33:09.72 Yamaguchi (JPN) 26 NOV 2016', '2017 32:52.41 Kobe (JPN) 23 APR 2017', '2018 31:50.17 Yamaguchi (JPN) 08 DEC 2018', '2019 32:08.44 Ishin Me-Life Stadium, Yamaguchi (JPN) 07 DEC 2019', '2021 33:18.42 Athletic Track, Abashiri (JPN) 10 JUL 2021', '2022 32:51.14 Takebishi Stadium, Kyoto (JPN) 10 DEC 2022', '2023 32:40.77 Athletic Track, Abashiri (JPN) 08 JUL 2023'], ['Half Marathon', 'Year Performance Venue Date', '2022 1:11:45 Osaka (JPN) 30 JAN 2022'], ['Marathon', 'Year Performance Venue Date', '2023 2:37:55 Nagoya (JPN) 12 MAR 2023']]"
Annabel STAFFORD,"[['3000 Metres', 'Year Performance Venue Date', '2022 9:39.12 Convention Center, Albuquerque, NM (USA) (i) 26 FEB 2022', '2023 9:40.09 Colorado-Indoor Practice Facility, Boulder, CO (USA) (i) 27 JAN 2023'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2022 9:39.12 Convention Center, Albuquerque, NM (USA) (i) 26 FEB 2022', '2023 9:46.05 Convention Center, Albuquerque, NM (USA) (i) 25 FEB 2023'], ['5000 Metres', 'Year Performance Venue Date', '2022 16:04.97 Cougar Athletic Stadium, Azusa, CA (USA) 14 APR 2022', '2023 15:49.40 Dempsey Indoor, Seattle, WA (USA) (i) 10 FEB 2023'], ['5000 Metres Short Track', 'Year Performance Venue Date', '2022 16:48.50 Convention Center, Albuquerque, NM (USA) (i) 25 FEB 2022', '2023 16:24.05 Convention Center, Albuquerque, NM (USA) (i) 25 FEB 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2022 33:25.33 Cobb Track and Angell Field, Palo Alto, CA (USA) 01 APR 2022', '2023 32:45.14 Hornet Stadium - Sac St., Sacramento, CA (USA) 25 MAY 2023']]"
Abbie DONNELLY,"[['1500 Metres', 'Year Performance Venue Date', '2011 4:54.00 Milton Keynes (GBR) 21 MAY 2011', '2012 4:40.92 Hull (GBR) 14 JUL 2012', '2013 4:39.94 Milton Keynes (GBR) 18 MAY 2013', '2014 4:35.54 Manchester (GBR) 31 MAY 2014', '2015 4:33.08 Manchester (GBR) 13 JUN 2015', '2015 4:33.08 Manchester (GBR) 30 MAY 2015', '2017 4:55.65 Loughborough (GBR) 07 JUN 2017'], ['Mile', 'Year Performance Venue Date', '2012 5:08.98 Oxford (GBR) 28 JUL 2012'], ['3000 Metres', 'Year Performance Venue Date', '2012 10:03.68 Gateshead (GBR) 07 JUL 2012', '2013 9:53.68 Dublin (IRL) 20 JUL 2013', '2014 9:41.78 Cardiff (GBR) 15 JUL 2014', '2015 10:02.94 Loughborough (GBR) 17 MAY 2015', '2018 9:40.71 Loughborough (GBR) 20 MAY 2018', '2019 9:36.39 Loughborough (GBR) 19 MAY 2019', '2022 9:23.77 Hallam University City Athletics Stadium, Sheffield (GBR) (i) 20 FEB 2022', '2023 8:58.59 Longford Stadium Trafford, Manchester (GBR) 25 JUL 2023'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2022 9:23.77 Hallam University City Athletics Stadium, Sheffield (GBR) (i) 20 FEB 2022'], ['5000 Metres', 'Year Performance Venue Date', '2017 17:16.02 Bedford (GBR) 01 MAY 2017', '2018 16:31.89 Bedford (GBR) 17 JUN 2018', '2019 16:21.44 Loughborough (GBR) 15 JUN 2019', '2021 15:42.65 Stantonbury Stadium, Milton Keynes (GBR) 17 JUL 2021', '2022 15:54.11 Chelmsford Sport And Athletics Centre Melbourne Park, Chelmsford (GBR) 01 MAY 2022', '2023 15:56.53 Manchester Regional Arena, Manchester (GBR) 01 MAY 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2017 35:36.04 Parliament Hill (GBR) 20 MAY 2017', '2019 33:56.13 London (GBR) 06 JUL 2019', '2021 33:31.31 Leeds (GBR) 24 JUN 2021', '2022 32:20.82 Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA) 28 MAY 2022', '2023 32:10.16 Parliament Hill Fields Athletics Track, London (GBR) 20 MAY 2023'], ['5 Kilometres Road', 'Year Performance Venue Date', '2021 16:57 Loughborough (GBR) 20 MAY 2021', '2024 15:18 Leicester (GBR) 16 MAR 2024'], ['10 Kilometres Road', 'Year Performance Venue Date', '2017 36:22 Lincoln (GBR) 02 APR 2017', '2019 34:31 Lincoln (GBR) 07 APR 2019', '2021 33:04 Lincoln (GBR) 31 OCT 2021', '2024 31:59 Valencia (ESP) 14 JAN 2024'], ['Half Marathon', 'Year Performance Venue Date', '2023 1:10:31 London (GBR) 03 SEP 2023', '2024 1:09:10 Barcelona (ESP) 11 FEB 2024']]"
Beatrice CHEBET,"[['1500 Metres', 'Year Performance Venue Date', '2019 4:23.2h Sports Complex, Mumias (KEN) 24 MAY 2019', '2023 4:06.09 Nyayo National Stadium, Nairobi (KEN) 24 JUN 2023'], ['3000 Metres', 'Year Performance Venue Date', '2017 9:07.0h Nairobi (KEN) 14 JUN 2017', '2018 8:59.72 Alexander Stadium, Birmingham (GBR) 18 AUG 2018', '2019 8:49.05 Khalifa International Stadium, Doha (QAT) 03 MAY 2019', '2020 8:50.40 Suhaim bin Hamad Stadium, Doha (QAT) 25 SEP 2020', '2021 8:27.49 Suhaim bin Hamad Stadium, Doha (QAT) 28 MAY 2021', '2022 8:27.14 Stade Olympique de la Pontaise, Lausanne (SUI) 26 AUG 2022', '2023 8:24.05 Egret Stadium, Xiamen (CHN) 02 SEP 2023'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2021 8:37.06 Gallur, Madrid (ESP) (i) 24 FEB 2021', '2022 8:41.92 Arena Stade Couvert, Liévin (FRA) (i) 17 FEB 2022'], ['2 Miles', 'Year Performance Venue Date', '2022 9:14.71 Hayward Field, Eugene, OR (USA) 27 MAY 2022'], ['5000 Metres', 'Year Performance Venue Date', '2016 17:59.0h Eldoret (KEN) 16 APR 2016', '2018 15:30.77 Ratinan Stadion, Tampere (FIN) 10 JUL 2018', '2019 14:46.12 Olympic Stadium, London (GBR) 21 JUL 2019', '2020 15:36.61 Nyayo National Stadium, Nairobi (KEN) 03 OCT 2020', '2021 14:34.55 Bislett Stadion, Oslo (NOR) 01 JUL 2021', '2022 14:38.21 Alexander Stadium, Birmingham (GBR) 07 AUG 2022', '2023 14:05.92 Hayward Field, Eugene, OR (USA) 17 SEP 2023', '2024 14:26.98 Suhaim bin Hamad Stadium, Doha (QAT) 10 MAY 2024'], ['10,000 Metres', 'Year Performance Venue Date', '2020 33:29.7h Moi International Sports Centre, Kasarani, Nairobi (KEN) 05 MAR 2020'], ['5 Kilometres Road', 'Year Performance Venue Date', '2021 15:12 Sechseläutenplatz, Zürich (SUI) 08 SEP 2021', '2022 14:32 Sechseläutenplatz, Zürich (SUI) 07 SEP 2022', '2023 14:13 Barcelona (ESP) 31 DEC 2023'], ['10 Kilometres Road', 'Year Performance Venue Date', '2017 34:26 Kabarnet (KEN) 18 NOV 2017', '2018 33:48 Kabarnet (KEN) 04 NOV 2018', '2019 32:52 Eldoret (KEN) 24 NOV 2019', '2020 35:44 Eldama Ravine (KEN) 28 NOV 2020']]"
McKenzie HOGUE,"[['800 Metres', 'Year Performance Venue Date', '2018 2:14.10 Gulf Shores, AL (USA) 05 MAY 2018', '2019 2:14.47 Mountain Brooks, AL (USA) 13 APR 2019', '2020 2:18.02 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 02 FEB 2020', '2022 2:13.46 University of Alabama at Birmingham, Birmingham, AL (USA) 09 APR 2022', '2024 2:09.41 Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i) 10 FEB 2024'], ['800 Metres Short Track', 'Year Performance Venue Date', '2020 2:18.02 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 02 FEB 2020', '2022 2:15.43 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 11 FEB 2022', '2024 2:09.41 Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i) 10 FEB 2024'], ['1500 Metres', 'Year Performance Venue Date', '2022 4:23.37 Hutsell-Rosen Track, Auburn, AL (USA) 15 APR 2022', '2023 4:19.47 Catamount Athletic Complex, Cullowhee, NC (USA) 09 MAY 2023', '2024 4:22.65 Sam Bailey Track Stadium, Tuscaloosa, AL (USA) 06 APR 2024'], ['Mile', 'Year Performance Venue Date', '2019 5:00.86 Nashville, TN (USA) 01 JUN 2019', '2020 4:49.55 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 17 JAN 2020', '2022 4:55.79 Corps Physical Training Facility, Lexington, VA (USA) (i) 27 FEB 2022', '2024 4:50.33 Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i) 26 JAN 2024'], ['Mile Short Track', 'Year Performance Venue Date', '2020 4:49.55 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 17 JAN 2020', '2022 4:55.79 Corps Physical Training Facility, Lexington, VA (USA) (i) 27 FEB 2022', '2024 4:50.33 Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i) 26 JAN 2024'], ['3000 Metres', 'Year Performance Venue Date', '2020 9:49.22 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 14 FEB 2020'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2020 9:49.22 CrossPlex Athletic Facility, Birmingham, AL (USA) (i) 14 FEB 2020']]"
