Name,Date of Birth,Nationality,Link
Nekagenet CRIPPA,16 SEP 1994,ITA,https://worldathletics.org/athletes/italy/nekagenet-crippa-14436562
Derseh KINDIE,04 FEB 1999,ETH,https://worldathletics.org/athletes/ethiopia/derseh-kindie-14936451
Alex Kipirech KIPCHIRCHIR,12 NOV 2002,KEN,https://worldathletics.org/athletes/kenya/alex-kipirech-kipchirchir-15046340
Luis Miguel MASABANDA,13 JAN 1996,ECU,https://worldathletics.org/athletes/ecuador/luis-miguel-masabanda-014978707
Dennis Kibet KITIYO,28 NOV 1999,KEN,https://worldathletics.org/athletes/kenya/dennis-kibet-kitiyo-14708980
Maël GOUYETTE,21 MAY 1999,FRA,https://worldathletics.org/athletes/france/mael-gouyette-14753364
Evan JENKINS,29 MAR 2004,USA,https://worldathletics.org/athletes/united-states/evan-jenkins-14937412
Daniele MEUCCI,07 OCT 1985,ITA,https://worldathletics.org/athletes/italy/daniele-meucci-14200873
Reed FISCHER,09 JUL 1995,USA,https://worldathletics.org/athletes/united-states/reed-fischer-014237773
Frank LARA,25 SEP 1995,USA,https://worldathletics.org/athletes/united-states/frank-lara-014681933
Diego ESTRADA,19 DEC 1989,USA,https://worldathletics.org/athletes/united-states/diego-estrada-014326821
Yevgeniy KUNTS,21 APR 1993,RUS,https://worldathletics.org/athletes/russia/yevgeniy-kunts-014503001
Carson SMITH,,USA,https://worldathletics.org/athletes/united-states/carson-smith-15022334
Kaisei SUGIYAMA,28 OCT 1999,JPN,https://worldathletics.org/athletes/japan/kaisei-sugiyama-014868750
Ossama MESLEK,08 JAN 1997,ITA,https://worldathletics.org/athletes/italy/ossama-meslek-14659273
Daiki HATTORI,07 MAR 1999,JPN,https://worldathletics.org/athletes/japan/daiki-hattori-014899953
Victor KIPLANGAT,10 NOV 1999,UGA,https://worldathletics.org/athletes/uganda/victor-kiplangat-14760499
Josphat Kipkemboi KEMEI,15 JUN 1994,KEN,https://worldathletics.org/athletes/kenya/josphat-kipkemboi-kemei-14983522
Dario IVANOVSKI,15 MAY 1997,MKD,https://worldathletics.org/athletes/north-macedonia/dario-ivanovski-14743213
Anthony CAMERIERI,29 FEB 2000,USA,https://worldathletics.org/athletes/united-states/anthony-camerieri-14874696
Jesse FOKKENROOD,28 MAR 2002,NED,https://worldathletics.org/athletes/netherlands/jesse-fokkenrood-014850726
Nelson MANDELA,30 DEC 2004,KEN,https://worldathletics.org/athletes/kenya/nelson-mandela-14989929
Bryan HERNANDEZ,,USA,https://worldathletics.org/athletes/united-states/bryan-hernandez-14964254
John KORIR,02 DEC 1996,KEN,https://worldathletics.org/athletes/kenya/john-korir-014845463
Andre WARING,18 AUG 1993,AUS,https://worldathletics.org/athletes/australia/andre-waring-014446985
Yohans MEKASHA,04 FEB 1998,ETH,https://worldathletics.org/athletes/ethiopia/yohans-mekasha-014693556
Amos KIPRUTO,16 SEP 1992,KEN,https://worldathletics.org/athletes/kenya/amos-kipruto-14694013
Jorge BLANCO,15 JUL 1993,ESP,https://worldathletics.org/athletes/spain/jorge-blanco-14508279
Ilias FIFA,16 MAY 1989,ESP,https://worldathletics.org/athletes/spain/ilias-fifa-14372018
Brian FAY,09 NOV 1998,IRL,https://worldathletics.org/athletes/ireland/brian-fay-14781522
Merhawi MEBRAHTU,21 SEP 2003,ERI,https://worldathletics.org/athletes/eritrea/merhawi-mebrahtu-14935339
Julius Kiprono TARUS,11 NOV 1991,KEN,https://worldathletics.org/athletes/kenya/julius-kiprono-tarus-014812811
Alexandre FIGUEIREDO,04 OCT 1999,POR,https://worldathletics.org/athletes/portugal/alexandre-figueiredo-014778613
Samuel RUSSOM,03 JAN 1991,ERI,https://worldathletics.org/athletes/eritrea/samuel-russom-014901040
Dominik ROLLI,19 FEB 1996,SUI,https://worldathletics.org/athletes/switzerland/dominik-rolli-014848124
Marius KIMUTAI,10 DEC 1992,BRN,https://worldathletics.org/athletes/bahrain/marius-kimutai-14612632
Baptiste MISCHLER,23 NOV 1997,FRA,https://worldathletics.org/athletes/france/baptiste-mischler-14586376
Elhassane MOUJAHID,19 JAN 2000,MAR,https://worldathletics.org/athletes/morocco/elhassane-moujahid-14843131
Edmond KIPNGETICH,30 MAR 1994,KEN,https://worldathletics.org/athletes/kenya/edmond-kipngetich-14834361
Daisuke HOSOMORI,05 MAY 1994,JPN,https://worldathletics.org/athletes/japan/daisuke-hosomori-014641767
Takuya KITASAKI,05 MAR 1999,JPN,https://worldathletics.org/athletes/japan/takuya-kitasaki-14818178
Sean PETERSON,24 JUL 1999,USA,https://worldathletics.org/athletes/united-states/sean-peterson-14248354
Seifu TURA,19 JUN 1997,ETH,https://worldathletics.org/athletes/ethiopia/seifu-tura-14679817
Abraham CHEROBEN,11 OCT 1992,BRN,https://worldathletics.org/athletes/bahrain/abraham-cheroben-014547677
Anatoliy RYBAKOV,27 FEB 1985,RUS,https://worldathletics.org/athletes/russia/anatoliy-rybakov-014223763
Christian RICKETTS,,USA,https://worldathletics.org/athletes/united-states/christian-ricketts-014790378
Naoya SAKUDA,17 DEC 1994,JPN,https://worldathletics.org/athletes/japan/naoya-sakuda-014669113
William KIBOR,10 JAN 1985,KEN,https://worldathletics.org/athletes/kenya/william-kibor-014373571
Patrick KAMAU,14 SEP 2003,KEN,https://worldathletics.org/athletes/kenya/patrick-kamau-15040527
