Name,Races
Nekagenet CRIPPA,"[['800 Metres', 'Year Performance Venue Date', '2012 2:00.04 Rovereto (ITA) 29 JUN 2012', '2014 1:58.32 Trento (ITA) 22 JUL 2014'], ['1500 Metres', 'Year Performance Venue Date', '2012 4:06.10 Rovereto (ITA) 22 JUN 2012', '2014 4:00.07 Trento (ITA) 15 JUL 2014', '2018 4:03.79 Trieste (ITA) 14 JUL 2018'], ['2000 Metres', 'Year Performance Venue Date', '2012 5:46.97 Rovereto (ITA) 14 APR 2012'], ['3000 Metres', 'Year Performance Venue Date', '2010 8:58.54 Rieti (ITA) 02 OCT 2010', '2011 8:55.17 Rieti (ITA) 01 OCT 2011', '2012 8:40.81 Trento (ITA) 24 JUL 2012', '2013 8:27.63 Bolzano (ITA) 15 SEP 2013', '2014 8:26.33 Trento (ITA) 29 JUL 2014', '2018 8:30.34 Codroipo (ITA) 01 JUL 2018'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2014 8:33.23 Padova (ITA) (i) 25 JAN 2014'], ['5000 Metres', 'Year Performance Venue Date', '2012 15:19.64 Misano Adriatico (ITA) 15 JUN 2012', '2013 14:57.42 Rieti (ITA) 15 JUN 2013', '2015 15:00.59 Udine (ITA) 10 MAY 2015', '2017 14:45.29 San Biagio di Callalta (ITA) 21 MAY 2017', '2018 14:17.81 Brugnera (ITA) 01 SEP 2018', '2019 14:00.87 Stadio Giuseppe Grezar, Trieste (ITA) 14 SEP 2019'], ['10,000 Metres', 'Year Performance Venue Date', '2014 30:37.13 Ferrara (ITA) 17 MAY 2014', '2016 29:56.23 Castelporziano (ITA) 14 MAY 2016', '2019 29:24.47 Monselice (ITA) 18 MAY 2019', '2021 27:51.93 Birmingham University Athletics Track, Birmingham (GBR) 05 JUN 2021', '2023 28:16.96 Parliament Hill Fields Athletics Track, London (GBR) 20 MAY 2023'], ['Road Race', 'Year Performance Venue Date', '2023 35:28 Castelbuono (ITA) 26 JUL 2023'], ['10 Kilometres Road', 'Year Performance Venue Date', '2012 32:29 Trento (ITA) 13 OCT 2012', '2013 31:08 Trento (ITA) 12 OCT 2013', '2015 30:09 Muggia (ITA) 26 APR 2015', '2016 30:45 Foligno (ITA) 10 SEP 2016', '2017 30:59 Telese Terme (ITA) 18 JUN 2017', '2018 29:59 Trento (ITA) 06 OCT 2018', '2019 29:39 Canelli (ITA) 08 SEP 2019', '2021 29:15 Telese Terme (ITA) 20 JUN 2021', '2022 29:23 Roma (ITA) 01 NOV 2022', '2023 28:45 Lille (FRA) 18 NOV 2023'], ['Half Marathon', 'Year Performance Venue Date', '2013 1:08:21 Cremona (ITA) 20 OCT 2013', '2014 1:05:31 Cremona (ITA) 19 OCT 2014', '2016 1:06:43 Cremona (ITA) 16 OCT 2016', '2017 1:09:13 Olomouc (CZE) 24 JUN 2017', '2020 1:03:23 Verona (ITA) 16 FEB 2020', '2022 1:02:01 Berlin (GER) 03 APR 2022', '2023 1:02:38 Sevilla (ESP) 29 JAN 2023'], ['30 Kilometres Road', 'Year Performance Venue Date', '2017 1:39:06 Dobbiaco (ITA) 04 JUN 2017'], ['Marathon', 'Year Performance Venue Date', '2016 2:21:17 Verbania (ITA) 06 NOV 2016', '2023 2:07:35 Valencia (ESP) 03 DEC 2023', '2024 2:09:41 Rotterdam (NED) 14 APR 2024']]"
Derseh KINDIE,"[['Half Marathon', 'Year Performance Venue Date', '2022 59:18 Barcelona (ESP) 03 APR 2022'], ['Marathon', 'Year Performance Venue Date', '2021 2:12:11 San Sebastián (ESP) 28 NOV 2021', '2022 2:08:23 Barcelona (ESP) 08 MAY 2022', '2023 2:05:51 Valencia (ESP) 03 DEC 2023', '2024 2:07:22 Seoul (KOR) 17 MAR 2024']]"
Alex Kipirech KIPCHIRCHIR,"[['1500 Metres', 'Year Performance Venue Date', '2023 3:45.65 Kanseki Stadium, Utsunomiya (JPN) 20 MAY 2023', '2024 3:44.29 Municipal Stadium, Hiroshima (JPN) 29 APR 2024'], ['5000 Metres', 'Year Performance Venue Date', '2021 13:51.8h Nyayo National Stadium, Nairobi (KEN) 28 MAY 2021', '2022 13:25.24 NITTAIDAI Athletic Stadium, Yokohama (JPN) 02 OCT 2022', '2023 13:28.14 Egao Kenko Stadium, Kumamoto (JPN) 08 APR 2023', '2024 13:31.55 Egao Kenko Stadium, Kumamoto (JPN) 13 APR 2024'], ['10,000 Metres', 'Year Performance Venue Date', '2022 28:02.53 Gion Stadium, Machida (JPN) 26 NOV 2022', '2023 28:37.63 Kamiyugi Park Athletic Stadium, Hachioji (JPN) 25 NOV 2023']]"
Luis Miguel MASABANDA,"[['3000 Metres', 'Year Performance Venue Date', '2024 8:16.86 Pista de Atletismo, Paysandú (URU) 23 MAR 2024'], ['5000 Metres', 'Year Performance Venue Date', '2021 14:34.26 Guayaquil (ECU) 18 APR 2021', '2022 14:18.49 Estadio Alberto Spencer Herrera, Guayaquil (ECU) 17 APR 2022', '2024 14:13.93 Pista de Atletismo, Paysandú (URU) 24 MAR 2024'], ['10,000 Metres', 'Year Performance Venue Date', '2021 30:56.16 Guayaquil (ECU) 17 APR 2021', '2022 29:52.2h Estadio Alberto Spencer Herrera, Guayaquil (ECU) 16 APR 2022', '2024 30:41.99 La Vicentina, Quito (ECU) 16 MAR 2024'], ['Half Marathon', 'Year Performance Venue Date', '2023 1:02:37 Buenos Aires (ARG) 27 AUG 2023'], ['Marathon', 'Year Performance Venue Date', '2023 2:13:33 Berlin (GER) 24 SEP 2023', '2024 2:13:57 Sevilla (ESP) 18 FEB 2024']]"
Dennis Kibet KITIYO,"[['1500 Metres', 'Year Performance Venue Date', '2021 3:54.7h Moi International Sports Centre, Kasarani, Nairobi (KEN) 12 MAR 2021'], ['3000 Metres', 'Year Performance Venue Date', '2015 8:15.1h Nairobi (KEN) 16 JUN 2015'], ['2000 Metres Steeplechase', 'Year Performance Venue Date', '2017 5:44.80 Nairobi (KEN) 14 JUN 2017'], ['10 Kilometres Road', 'Year Performance Venue Date', '2022 27:35 Brasov (ROU) 25 SEP 2022', '2024 27:01 Valencia (ESP) 14 JAN 2024'], ['Half Marathon', 'Year Performance Venue Date', '2022 1:01:06 Napoli (ITA) 27 FEB 2022', '2023 1:01:08 Adi-Dassler-Straße 1, Herzogenaurach (GER) 29 APR 2023', '2024 1:00:58 Lisboa (POR) 17 MAR 2024']]"
Maël GOUYETTE,"[['800 Metres', 'Year Performance Venue Date', '2017 1:54.09 St-Brieuc (FRA) 21 MAY 2017', '2019 1:52.01 Fougéres (FRA) 16 JUN 2019', '2020 1:51.12 Stade Bréquigny, Rennes (FRA) 19 SEP 2020', '2021 1:53.55 Stade Bréquigny, Rennes (FRA) 19 MAY 2021', '2022 1:52.01 Armory Track&Field Center, New York, NY (USA) (i) 20 FEB 2022', '2023 1:55.47 Morris Williams T&F Stadium, Durham, NC (USA) 08 APR 2023', '2024 1:51.07 Stade Mainguet, Montfort-sur-Meu (FRA) 28 APR 2024'], ['800 Metres Short Track', 'Year Performance Venue Date', '2021 1:56.03 Stadium Pierre-Quinon, Nantes (FRA) (i) 16 JAN 2021', '2022 1:52.01 Armory Track&Field Center, New York, NY (USA) (i) 20 FEB 2022'], ['1000 Metres', 'Year Performance Venue Date', '2021 2:21.99 Stade R. Quintard, Cerizay (FRA) 13 JUL 2021'], ['1500 Metres', 'Year Performance Venue Date', ""2017 3:52.65 Pont l'Abbé (FRA) 11 JUN 2017"", '2018 3:46.98 Carquefou (FRA) 16 JUN 2018', '2019 3:43.76 Amiens (FRA) 09 JUN 2019', '2020 3:41.33 Stade Raymond Troussier, Decines (FRA) 29 AUG 2020', '2021 3:41.24 VITA Atletiek, Ninove (BEL) 17 JUL 2021', '2022 3:40.49 Stade Sottevillais 76, Sotteville-lès-Rouen (FRA) 04 JUL 2022', '2023 3:35.94 Stade Delort, Marseille (FRA) 17 JUL 2023', '2024 3:36.22 Carl-Kaufmann-Stadion, Karlsruhe (GER) 11 MAY 2024'], ['1500 Metres Short Track', 'Year Performance Venue Date', '2018 3:53.41 Nantes (FRA) (i) 03 MAR 2018', '2020 3:53.83 Salle Maryvonne Dupureur, St-Brieuc (FRA) (i) 09 FEB 2020', '2021 3:54.79 Stadium Miramas Métropole, Miramas (FRA) (i) 22 JAN 2021', '2023 3:43.13 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 26 FEB 2023', '2024 3:38.86 Stadium Miramas Métropole, Miramas (FRA) (i) 02 FEB 2024'], ['Mile', 'Year Performance Venue Date', '2022 3:59.89 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 27 FEB 2022', '2023 3:53.63 TSV Stadion, Pfungstadt (GER) 06 SEP 2023', '2024 4:01.53 Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i) 28 JAN 2024'], ['Mile Short Track', 'Year Performance Venue Date', '2022 3:59.89 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 27 FEB 2022', '2023 3:58.38 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 26 FEB 2023', '2024 4:01.53 Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i) 28 JAN 2024'], ['3000 Metres', 'Year Performance Venue Date', '2016 8:56.9h Landerneau (FRA) 15 MAY 2016', '2017 8:32.12 St-Malo (FRA) 29 APR 2017', '2019 8:35.54 Pacé (FRA) 27 APR 2019', '2020 8:18.15 St-Brieuc (FRA) (i) 19 JAN 2020', '2021 8:10.94 Salle Robert Poirier, Rennes (FRA) (i) 18 DEC 2021', '2022 7:59.36 Armory Track&Field Center, New York, NY (USA) (i) 05 FEB 2022'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2020 8:18.15 St-Brieuc (FRA) (i) 19 JAN 2020', '2021 8:10.94 Salle Robert Poirier, Rennes (FRA) (i) 18 DEC 2021', '2022 7:59.36 Armory Track&Field Center, New York, NY (USA) (i) 05 FEB 2022'], ['5000 Metres', 'Year Performance Venue Date', '2018 14:50.30 St-Malo (FRA) 28 APR 2018', '2022 14:03.85 Paul Derr TF Facility, Raleigh, NC (USA) 24 MAR 2022', '2023 13:36.24 LAZ Wien, Wien (AUT) 17 JUN 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2021 30:13.70 Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA) 24 APR 2021'], ['Mile Road', 'Year Performance Venue Date', '2023 3:56.57 Riga (LAT) 01 OCT 2023'], ['5 Kilometres Road', 'Year Performance Venue Date', '2020 14:40 Barcelona (ESP) 31 DEC 2020', '2023 13:50 Barcelona (ESP) 31 DEC 2023'], ['10 Kilometres Road', 'Year Performance Venue Date', '2021 30:18 Langueux (FRA) 04 SEP 2021', '2022 29:34 Houilles (FRA) 18 DEC 2022', '2023 29:29 Bordeaux (FRA) 05 NOV 2023'], ['4xMile Relay', 'Year Performance Venue Date', '2023 16:17.46 Franklin Field, Philadelphia, PA (USA) 29 APR 2023']]"
Evan JENKINS,"[['1500 Metres', 'Year Performance Venue Date', '2022 3:52.22 Putbosstadion, Oordegem (BEL) 28 MAY 2022', '2024 3:47.18 Cougar Athletic Stadium, Azusa, CA (USA) 13 APR 2024'], ['Mile', 'Year Performance Venue Date', '2024 3:59.54 Dempsey Indoor, Seattle, WA (USA) (i) 24 FEB 2024'], ['3000 Metres', 'Year Performance Venue Date', '2020 8:52.96 Dempsey Indoor, Seattle, WA (USA) (i) 22 FEB 2020', '2022 8:17.71 Hadar Yosef Stadium, Tel Aviv (ISR) 26 APR 2022', '2023 8:01.69 Dempsey Indoor, Seattle, WA (USA) (i) 10 FEB 2023', '2024 7:46.58 Dempsey Indoor, Seattle, WA (USA) 09 FEB 2024'], ['5000 Metres', 'Year Performance Venue Date', '2023 13:54.65 Mt. Hood Community College, Gresham, OR (USA) 04 JUN 2023', '2024 13:38.01 Cobb Track and Angell Field, Palo Alto, CA (USA) 26 APR 2024'], ['10,000 Metres', 'Year Performance Venue Date', '2023 29:29.64 Oregon State Whyte Track and Field Center, Corvallis, OR (USA) 28 APR 2023', '2024 28:04.58 Cobb Track and Angell Field, Palo Alto, CA (USA) 29 MAR 2024'], ['Distance Medley Short Track', 'Year Performance Venue Date', '2024 9:30.40 The Track at New Balance, Boston, MA (USA) (i) 08 MAR 2024']]"
Daniele MEUCCI,"[['1500 Metres', 'Year Performance Venue Date', '2005 3:48.79 Firenze (ITA) 16 JUN 2005', '2006 3:47.32 Ponzano (ITA) 30 JUN 2006', '2007 3:47.49 Ancona (ITA) (i) 18 FEB 2007', '2008 3:49.78 Firenze (ITA) 17 MAY 2008'], ['1500 Metres Short Track', 'Year Performance Venue Date', '2007 3:47.49 Ancona (ITA) (i) 18 FEB 2007'], ['3000 Metres', 'Year Performance Venue Date', '2006 8:17.07 Firenze (ITA) (i) 14 FEB 2006', '2007 7:57.56 Torino (ITA) 08 JUN 2007', '2008 7:56.53 Genova (ITA) (i) 24 FEB 2008', '2009 7:50.53 Rieti (ITA) 06 SEP 2009', '2010 7:43.85 Milano (ITA) 09 SEP 2010', '2011 7:59.58 Schleyer Halle, Stuttgart (GER) (i) 05 FEB 2011', '2012 7:41.74 Olympiastadion, Stockholm (SWE) 17 AUG 2012', '2013 7:45.31 Olympic Stadium, London (GBR) 27 JUL 2013'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2006 8:17.07 Firenze (ITA) (i) 14 FEB 2006', '2007 8:06.36 Ancona (ITA) (i) 18 FEB 2007', '2008 7:56.53 Genova (ITA) (i) 24 FEB 2008', '2009 8:03.48 Torino (ITA) (i) 22 FEB 2009', '2011 7:59.58 Schleyer Halle, Stuttgart (GER) (i) 05 FEB 2011'], ['2 Miles', 'Year Performance Venue Date', '2012 8:28.28 Alexander Stadium, Birmingham (GBR) 26 AUG 2012'], ['5000 Metres', 'Year Performance Venue Date', '2005 14:21.26 Bressanone (ITA) 25 JUN 2005', '2006 13:53.40 Torino (ITA) 08 JUL 2006', '2007 13:50.27 Ponzano (ITA) 06 JUL 2007', '2008 13:45.40 Stadio Quercia, Rovereto (ITA) 10 SEP 2008', '2009 13:26.09 Milano (ITA) 25 JUN 2009', '2010 13:24.38 Rovereto (ITA) 31 AUG 2010', '2011 13:24.94 Barcelona (ESP) 22 JUL 2011', '2012 13:19.00 Heusden-Zolder (BEL) 07 JUL 2012', '2013 13:45.12 Mersin (TUR) 29 JUN 2013', '2014 13:36.83 Velenje (SLO) 01 JUL 2014', '2017 13:38.94 Oordegem (BEL) 27 MAY 2017'], ['5000 Metres Short Track', 'Year Performance Venue Date', '2011 13:50.26 Düsseldorf (GER) (i) 11 FEB 2011'], ['10,000 Metres', 'Year Performance Venue Date', '2005 29:44.5h Roma (ITA) 24 APR 2005', '2006 28:44.79 Torino (ITA) 08 JUL 2006', '2007 28:56.70 Ferrara (ITA) 07 APR 2007', '2008 28:08.4h Roma (ITA) 10 MAY 2008', ""2009 28:50.10 Villeneuve d'Ascq (FRA) 30 JUN 2009"", '2010 28:18.56 Rieti (ITA) 25 APR 2010', '2011 27:44.50 Birmingham (GBR) 29 JUL 2011', '2012 27:32.86 Palo Alto, CA (USA) 29 APR 2012', '2013 28:06.74 Luzhniki Stadion, Moskva (RUS) 10 AUG 2013', '2014 27:36.53 Palo Alto, CA (USA) 04 MAY 2014', '2016 28:24.71 Mersin (TUR) 05 JUN 2016', '2017 28:33.72 Leiden (NED) 17 JUN 2017', '2018 28:38.94 Ferrara (ITA) 12 MAY 2018', '2019 28:38.35 London (GBR) 06 JUL 2019'], ['Road Race', 'Year Performance Venue Date', '2023 34:58 Castelbuono (ITA) 26 JUL 2023'], ['10 Kilometres Road', 'Year Performance Venue Date', '2005 29:31 Trento (ITA) 08 OCT 2005', '2006 30:36 Scicli (ITA) 20 AUG 2006', '2008 29:22 Arezzo (ITA) 24 MAY 2008', '2009 29:03 Scicli (ITA) 26 SEP 2009', '2010 30:14 Scicli (ITA) 26 SEP 2010', '2011 29:05 Telese Terme (ITA) 03 JUL 2011', '2012 28:28 New York, NY (USA) 12 MAY 2012', '2013 30:11 Taibon Agordino (ITA) 03 AUG 2013', '2014 28:19 New York, NY (USA) 10 MAY 2014', '2015 28:48 Roma (ITA) 31 DEC 2015', '2017 29:42 Roma (ITA) 31 DEC 2017', '2018 29:05 Roma (ITA) 31 DEC 2018', '2019 28:19 Arezzo (ITA) 25 MAY 2019', '2020 28:08 Valencia (ESP) 12 JAN 2020', '2021 28:46 Arezzo (ITA) 19 AUG 2021', '2022 29:02 Oderzo (ITA) 17 SEP 2022', '2023 29:21 Telese Terme (ITA) 18 JUN 2023'], ['15 Kilometres Road', 'Year Performance Venue Date', '2013 44:59 Roma (ITA) 03 FEB 2013'], ['10 Miles Road', 'Year Performance Venue Date', '2010 50:54 Portsmouth (GBR) 24 OCT 2010', '2012 46:50 Portsmouth (GBR) 28 OCT 2012', '2014 48:47 Portsmouth (GBR) 26 OCT 2014'], ['20 Kilometres Road', 'Year Performance Venue Date', '2017 1:00:22 Paris (FRA) 08 OCT 2017'], ['Half Marathon', 'Year Performance Venue Date', '2005 1:04:31 Arezzo (ITA) 30 OCT 2005', '2006 1:06:29 Arezzo (ITA) 29 OCT 2006', '2008 1:03:20 Pisa (ITA) 12 OCT 2008', '2009 1:02:43 Birmingham (GBR) 11 OCT 2009', '2011 1:02:30 Udine (ITA) 25 SEP 2011', '2012 1:05:11 Santa Margherita Ligure (ITA) 11 MAR 2012', '2013 1:01:06 New York, NY (USA) 17 MAR 2013', '2014 1:01:57 København (DEN) 29 MAR 2014', '2015 1:03:40 Treviso (ITA) 11 OCT 2015', '2016 1:02:38 Olympisch Stadion, Amsterdam (NED) 10 JUL 2016', '2017 1:02:17 Praha (CZE) 01 APR 2017', '2018 1:04:37 Tarragona (ESP) 30 JUN 2018', '2019 1:02:49 Klagenfurt (AUT) 25 AUG 2019', '2021 1:02:40 Padova (ITA) 26 SEP 2021', '2023 1:03:24 Luzern (SUI) 29 OCT 2023'], ['Marathon', 'Year Performance Venue Date', '2010 2:13:49 Roma (ITA) 21 MAR 2010', '2013 2:12:03 New York, NY (USA) 03 NOV 2013', '2014 2:11:08 Letzigrund, Zürich (SUI) 17 AUG 2014', '2015 2:11:10 Otsu (JPN) 01 MAR 2015', '2017 2:10:56 Olympic Stadium, London (GBR) 06 AUG 2017', '2018 2:10:45 Otsu (JPN) 04 MAR 2018', '2019 2:10:52 Frankfurt (GER) 27 OCT 2019', '2021 2:10:03 Barcelona (ESP) 07 NOV 2021', '2022 2:09:25 Sevilla (ESP) 20 FEB 2022', '2023 2:11:06 Hősök tere, Budapest (HUN) 27 AUG 2023', '2024 2:07:49 Sevilla (ESP) 18 FEB 2024']]"
Reed FISCHER,"[['1500 Metres', 'Year Performance Venue Date', '2003 3:50.85 Fayetteville, AR (USA) 12 APR 2003', '2005 3:50.73 Fayetteville, AR (USA) 23 APR 2005', '2017 3:52.46 Des Moines, IA (USA) 14 APR 2017'], ['Mile', 'Year Performance Venue Date', '2003 4:11.16 Blacksburg, VA (USA) (i) 01 MAR 2003', '2005 4:12.73 Fayetteville, AR (USA) (i) 14 JAN 2005', '2006 4:17.34 Fayetteville, AR (USA) (i) 13 JAN 2006', '2017 4:18.06 Lincoln, NE (USA) (i) 13 JAN 2017'], ['Mile Short Track', 'Year Performance Venue Date', '2003 4:11.16 Blacksburg, VA (USA) (i) 01 MAR 2003', '2005 4:12.73 Fayetteville, AR (USA) (i) 14 JAN 2005', '2006 4:17.34 Fayetteville, AR (USA) (i) 13 JAN 2006', '2017 4:18.06 Lincoln, NE (USA) (i) 13 JAN 2017'], ['3000 Metres', 'Year Performance Venue Date', '2014 8:41.39 Fayetteville, AR (USA) 05 APR 2014', '2015 8:29.43 Ames, IA (USA) (i) 14 FEB 2015', '2016 8:06.88 Ames, IA (USA) (i) 12 FEB 2016', '2017 8:04.98 South Bend, IN (USA) (i) 04 FEB 2017', '2018 8:13.85 Seattle, WA (USA) (i) 13 JAN 2018', '2021 8:04.29 Chandler High School, Chandler, AZ (USA) 13 FEB 2021'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2014 8:43.72 Iowa City, IA (USA) (i) 21 FEB 2014', '2015 8:32.22 Lincoln, NE (USA) (i) 07 FEB 2015', '2016 8:13.83 Lincoln, NE (USA) (i) 06 FEB 2016', '2017 8:20.59 Cedar Falls, IA (USA) (i) 26 FEB 2017'], ['5000 Metres', 'Year Performance Venue Date', '2006 14:36.03 Memphis, TN (USA) 25 MAR 2006', '2014 14:57.13 Des Moines, IA (USA) 11 APR 2014', '2015 14:24.24 Des Moines, IA (USA) 23 APR 2015', '2016 14:00.28 Des Moines, IA (USA) 28 APR 2016', '2017 13:48.32 Des Moines, IA (USA) 27 APR 2017', '2018 13:45.88 Los Angeles, CA (USA) 17 MAY 2018', '2019 13:43.46 Azusa, CA (USA) 09 JUL 2019', '2020 13:43.67 Los Angeles, CA (USA) 22 AUG 2020', '2021 13:50.67 Drake Stadium, Des Moines, IA (USA) 23 APR 2021'], ['5000 Metres Short Track', 'Year Performance Venue Date', '2006 14:51.63 Fayetteville, AR (USA) (i) 10 FEB 2006', '2014 15:12.72 Cedar Falls, IA (USA) (i) 01 MAR 2014', '2015 14:35.33 Cedar Falls, IA (USA) (i) 28 FEB 2015', '2016 14:28.88 Cedar Falls, IA (USA) (i) 27 FEB 2016', '2017 14:21.45 Cedar Falls, IA (USA) (i) 25 FEB 2017'], ['10,000 Metres', 'Year Performance Venue Date', '2014 30:27.66 Carbondale, IL (USA) 16 MAY 2014', '2015 29:59.09 Walnut, CA (USA) 16 APR 2015', '2016 29:09.86 Walnut, CA (USA) 14 APR 2016', '2017 28:47.86 Palo Alto, CA (USA) 31 MAR 2017', '2018 28:38.62 Palo Alto, CA (USA) 30 MAR 2018', '2019 28:23.30 Drake Stadium, Des Moines, IA (USA) 25 JUL 2019', '2020 28:12.53 JSerra Catholic HS, San Juan Capistrano, CA (USA) 05 DEC 2020', '2021 28:41.56 Irvine, CA (USA) 14 MAY 2021'], ['3000 Metres Steeplechase', 'Year Performance Venue Date', '2006 9:15.45 Arlington, TX (USA) 06 MAY 2006'], ['10 Kilometres Road', 'Year Performance Venue Date', '2019 30:20 Boulder, CO (USA) 27 MAY 2019', '2023 29:15 Boston, MA (USA) 25 JUN 2023', '2024 29:20 Adi-Dassler-Straße 1, Herzogenaurach (GER) 27 APR 2024'], ['15 Kilometres Road', 'Year Performance Venue Date', '2019 44:44 Utica, NY (USA) 14 JUL 2019', '2021 44:02 Jacksonville, FL (USA) 20 MAR 2021'], ['10 Miles Road', 'Year Performance Venue Date', '2017 49:50 Pittsburgh, PA (USA) 05 NOV 2017', '2018 47:50 St. Paul (USA) 07 OCT 2018', '2021 46:59 Washington, DC (USA) 12 SEP 2021', '2022 46:40 Minneapolis, MN (USA) 02 OCT 2022'], ['20 Kilometres Road', 'Year Performance Venue Date', '2019 59:48 New Haven, CT (USA) 02 SEP 2019'], ['Half Marathon', 'Year Performance Venue Date', '2019 1:02:06 Houston, TX (USA) 20 JAN 2019', '2020 1:01:37 Houston, TX (USA) 19 JAN 2020', '2022 1:02:06 New York, NY (USA) 20 MAR 2022', '2023 1:01:52 Adi-Dassler-Straße 1, Herzogenaurach (GER) 29 APR 2023', '2024 1:03:06 New York, NY (USA) 17 MAR 2024'], ['Marathon', 'Year Performance Venue Date', '2020 2:24:48 Atlanta, GA (USA) 29 FEB 2020', '2021 2:14:41 Chicago, IL (USA) 10 OCT 2021', '2022 2:15:23 New York, NY (USA) 06 NOV 2022', '2024 2:11:34 Orlando, FL (USA) 03 FEB 2024']]"
Frank LARA,"[['1500 Metres', 'Year Performance Venue Date', '2018 3:56.71 Cullowhee, NC (USA) 10 MAY 2018'], ['Mile', 'Year Performance Venue Date', '2018 4:14.54 Cullowhee, NC (USA) 13 APR 2018'], ['3000 Metres', 'Year Performance Venue Date', '2017 8:22.74 Auburn, AL (USA) 08 APR 2017', '2018 8:07.13 Nashville, TN (USA) (i) 20 JAN 2018', '2019 8:17.68 Nashville, TN (USA) (i) 19 JAN 2019'], ['3000 Metres Short Track', 'Year Performance Venue Date', '2018 8:13.79 Lexington, VA (USA) (i) 24 FEB 2018', '2019 8:21.67 Winston Salem, NC (USA) (i) 02 FEB 2019'], ['5000 Metres', 'Year Performance Venue Date', '2015 14:37.87 Nashville, TN (USA) (i) 23 JAN 2015', '2016 15:00.77 Atlanta, GA (USA) 22 APR 2016', '2017 14:05.15 Charlottesville, VA (USA) 22 APR 2017', '2018 13:56.17 Ames, IA (USA) (i) 09 FEB 2018', '2019 14:01.36 Ames, IA (USA) (i) 08 FEB 2019', '2020 14:00.75 St. George, UT (USA) 11 JUL 2020', '2021 13:27.20 Griswold Stadium, Portland, OR (USA) 29 MAY 2021', '2022 13:46.28 Hilmer Lodge Stadium, Walnut, CA (USA) 15 APR 2022', '2023 13:36.09 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 11 FEB 2023'], ['5000 Metres Short Track', 'Year Performance Venue Date', '2015 15:10.95 Birmingham, AL (USA) (i) 28 FEB 2015', '2018 14:19.75 Lexington, VA (USA) (i) 25 FEB 2018', '2019 14:18.66 Lexington, VA (USA) (i) 24 FEB 2019', '2023 13:36.09 Boston Univ. Track & Tennis Center, Boston, MA (USA) (i) 11 FEB 2023'], ['10,000 Metres', 'Year Performance Venue Date', '2017 29:32.54 Raleigh, NC (USA) 24 MAR 2017', '2018 29:33.95 Tampa, FL (USA) 24 MAY 2018', '2019 28:47.89 Raleigh, NC (USA) 29 MAR 2019', '2020 27:44.65 JSerra Catholic HS, San Juan Capistrano, CA (USA) 05 DEC 2020', '2021 27:43.13 Irvine, CA (USA) 14 MAY 2021', '2022 27:57.90 JSerra Catholic HS, San Juan Capistrano, CA (USA) 06 MAY 2022', '2023 28:00.75 JSerra Catholic HS, San Juan Capistrano, CA (USA) 04 MAR 2023'], ['Road Race', 'Year Performance Venue Date', '2022 33:38 Falmouth, MA (USA) 21 AUG 2022'], ['10 Kilometres Road', 'Year Performance Venue Date', '2019 30:40 Fort Collins, CO (USA) 02 SEP 2019'], ['15 Kilometres Road', 'Year Performance Venue Date', '2020 44:44 Jacksonville, FL (USA) 07 MAR 2020', '2021 44:02 Jacksonville, FL (USA) 20 MAR 2021'], ['10 Miles Road', 'Year Performance Venue Date', '2019 48:37 Minneapolis, MN (USA) 06 OCT 2019', '2021 47:13 Washington, DC (USA) 12 SEP 2021'], ['Half Marathon', 'Year Performance Venue Date', '2019 1:04:23 Monterey, CA (USA) 10 NOV 2019', '2020 1:01:50 Houston, TX (USA) 19 JAN 2020', '2021 1:01:00 Valencia (ESP) 24 OCT 2021', '2022 1:03:27 New York, NY (USA) 20 MAR 2022', '2023 1:02:00 Houston, TX (USA) 15 JAN 2023', '2024 1:03:46 Houston, TX (USA) 14 JAN 2024'], ['Marathon', 'Year Performance Venue Date', '2022 2:11:32 Houston, TX (USA) 16 JAN 2022', '2023 2:12:57 Chicago, IL (USA) 08 OCT 2023', '2024 2:14:55 Orlando, FL (USA) 03 FEB 2024']]"
